iter	RMSE
0	13721.05194
1	12760.51423
2	11887.53877
3	11111.77435
4	10475.3824
5	9880.950846
6	9335.014572
7	8879.159048
8	8449.075479
9	8019.830843
10	7667.95155
11	7341.662145
12	7031.498021
13	6761.887884
14	6541.945157
15	6311.484996
16	6145.690108
17	5965.871578
18	5806.723768
19	5651.616554
20	5535.676297
21	5422.952652
22	5323.032654
23	5225.425466
24	5158.07818
25	5071.673093
26	5016.520995
27	4959.757727
28	4909.675544
29	4833.189436
30	4790.779328
31	4743.590791
32	4702.750386
33	4652.862235
34	4605.953046
35	4574.68394
36	4533.186023
37	4493.516221
38	4471.81372
39	4452.062203
40	4432.189189
41	4399.958311
42	4371.044464
43	4349.41998
44	4325.405342
45	4299.847044
46	4283.682214
47	4248.021512
48	4235.023799
49	4215.843795
50	4197.567895
51	4182.141222
52	4154.935759
53	4136.919665
54	4119.609705
55	4098.826241
56	4082.773763
57	4063.452696
58	4046.811244
59	4027.82315
60	4017.30328
61	4000.343277
62	3988.007051
63	3977.28178
64	3962.934462
65	3950.579514
66	3932.903444
67	3920.602896
68	3906.558708
69	3896.698552
70	3891.091604
71	3880.582397
72	3866.162067
73	3858.325282
74	3849.528766
75	3834.013578
76	3820.34417
77	3809.819571
78	3799.181383
79	3794.423235
80	3787.637064
81	3779.292035
82	3770.232113
83	3758.936528
84	3749.245588
85	3740.178187
86	3732.324782
87	3721.533949
88	3714.868455
89	3709.620497
90	3702.514161
91	3691.680964
92	3679.235514
93	3671.232124
94	3661.158787
95	3656.532144
96	3647.467999
97	3640.674893
98	3633.858746
99	3627.143625
100	3619.488433
101	3614.186793
102	3608.922758
103	3600.93863
104	3593.864368
105	3584.075501
106	3574.630798
107	3566.797924
108	3559.427814
109	3553.955118
110	3547.663378
111	3543.848699
112	3539.786459
113	3534.980383
114	3527.86973
115	3521.846228
116	3516.640954
117	3510.791213
118	3505.665118
119	3499.780152
120	3492.862318
121	3487.252115
122	3480.51456
123	3474.801282
124	3471.322119
125	3465.041873
126	3458.046349
127	3452.888323
128	3447.283635
129	3441.665
130	3435.851298
131	3432.064666
132	3429.713774
133	3425.475985
134	3422.757226
135	3419.627404
136	3413.689507
137	3412.120758
138	3408.470698
139	3403.135977
140	3399.872489
141	3395.671023
142	3390.519329
143	3387.390578
144	3383.695651
145	3382.307333
146	3377.601763
147	3371.806709
148	3370.409667
149	3367.825669
150	3362.529741
151	3358.638436
152	3354.165024
153	3351.641429
154	3348.536557
155	3345.317371
156	3341.403015
157	3338.380572
158	3334.566482
159	3332.16303
160	3329.095231
161	3326.203968
162	3322.544244
163	3318.780284
164	3317.708854
165	3312.933186
166	3309.359519
167	3307.203178
168	3303.996487
169	3301.77644
170	3298.497084
171	3295.316417
172	3293.378291
173	3289.904718
174	3286.825086
175	3284.360211
176	3283.496923
177	3281.394178
178	3279.100746
179	3276.686846
180	3273.342284
181	3271.310814
182	3269.682768
183	3266.479279
184	3264.32605
185	3261.435397
186	3258.127607
187	3256.292303
188	3254.680957
189	3253.319634
190	3250.070612
191	3247.272914
192	3245.008062
193	3242.606638
194	3241.324473
195	3238.843219
196	3234.822209
197	3232.262567
198	3230.867267
199	3229.158744
200	3226.641655
201	3224.28703
202	3222.644548
203	3221.13439
204	3219.50338
205	3217.19013
