iter	Passed	Remaining
0	58	58553
1	60	30002
2	61	20402
3	62	15597
4	63	12723
5	65	10806
6	66	9449
7	68	8449
8	69	7640
9	70	7016
10	72	6527
11	74	6098
12	75	5746
13	76	5417
14	78	5154
15	79	4906
16	81	4684
17	82	4494
18	83	4316
19	85	4168
20	86	4027
21	87	3895
22	88	3777
23	90	3677
24	92	3607
25	94	3529
26	95	3440
27	96	3359
28	98	3309
29	100	3241
30	108	3385
31	110	3340
32	111	3276
33	113	3215
34	114	3154
35	115	3098
36	117	3045
37	118	2998
38	119	2949
39	120	2900
40	122	2855
41	123	2812
42	124	2781
43	126	2739
44	127	2705
45	128	2668
46	129	2633
47	131	2604
48	132	2574
49	133	2544
50	135	2512
51	136	2487
52	137	2459
53	138	2433
54	140	2408
55	141	2383
56	142	2359
57	144	2339
58	145	2316
59	146	2296
60	147	2274
61	148	2254
62	150	2235
63	151	2214
64	152	2197
65	153	2179
66	155	2162
67	156	2144
68	157	2126
69	159	2119
70	160	2101
71	161	2085
72	163	2070
73	164	2054
74	165	2041
75	166	2026
76	167	2013
77	169	1999
78	170	1986
79	171	1973
80	173	1962
81	174	1949
82	175	1936
83	176	1924
84	177	1912
85	178	1902
86	180	1890
87	181	1881
88	182	1871
89	184	1860
90	185	1850
91	186	1840
92	187	1830
93	188	1820
94	190	1811
95	191	1802
96	192	1792
97	193	1783
98	194	1773
99	196	1765
100	197	1757
101	198	1749
102	200	1742
103	201	1735
104	202	1728
105	203	1719
106	205	1711
107	206	1704
108	207	1696
109	208	1690
110	210	1682
111	211	1676
112	212	1669
113	213	1662
114	215	1656
115	216	1649
116	217	1643
117	219	1637
118	220	1630
119	221	1624
120	222	1617
121	223	1610
122	225	1605
123	226	1598
124	227	1593
125	228	1587
126	230	1581
127	231	1576
128	232	1571
129	233	1565
130	235	1560
131	236	1555
132	237	1549
133	239	1545
134	240	1539
135	241	1533
136	242	1528
137	243	1522
138	245	1517
139	246	1512
140	247	1507
141	248	1503
142	250	1498
143	251	1493
144	252	1488
145	253	1483
146	254	1479
147	256	1475
148	257	1470
149	258	1465
150	259	1461
151	261	1457
152	262	1452
153	263	1448
154	264	1444
155	266	1439
156	267	1435
157	268	1430
158	269	1426
159	270	1421
160	272	1417
161	273	1413
162	274	1410
163	275	1405
164	276	1401
165	278	1397
166	279	1393
167	280	1391
168	282	1387
169	283	1382
170	284	1378
171	285	1375
172	286	1371
173	288	1367
174	289	1363
175	290	1360
176	291	1356
177	293	1353
178	294	1349
179	295	1346
180	296	1343
181	298	1340
182	299	1338
183	301	1334
184	302	1331
185	303	1328
186	304	1324
187	305	1321
188	307	1318
189	308	1314
190	309	1311
191	310	1308
192	311	1304
193	313	1301
194	314	1298
195	315	1294
196	316	1291
197	318	1288
198	319	1285
199	320	1281
200	321	1278
201	322	1275
202	323	1271
203	325	1268
204	326	1266
205	327	1263
206	329	1260
207	330	1257
208	331	1254
209	332	1251
210	334	1249
211	335	1246
212	336	1242
213	337	1240
214	339	1238
215	340	1235
216	341	1232
217	342	1229
218	343	1226
219	345	1223
220	346	1220
221	347	1218
222	348	1214
223	349	1212
224	351	1209
225	352	1206
226	353	1203
227	354	1201
228	355	1198
229	357	1195
230	358	1192
231	359	1189
232	360	1186
233	361	1184
234	363	1181
235	364	1179
236	365	1177
237	366	1174
238	368	1171
239	369	1169
240	370	1166
241	371	1163
242	372	1161
243	373	1158
244	375	1156
245	376	1153
246	377	1151
247	378	1149
248	380	1146
249	381	1143
250	382	1141
251	383	1139
252	385	1136
253	386	1134
254	387	1131
255	388	1130
256	390	1127
