"주택유형별","지역별","항목","단위","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월",
"종합","전국","매매가격","","101.8232676","102.7556195","103.6644343","104.3169996","104.6169034","104.7193237","104.7501852","104.7681327","104.8296115","104.8440136","104.8372099","104.7582611","104.4590502","103.9498545","103.1485214","101.7361712","99.72380843","98.2335662","97.10790976","96.34640819","95.89740291","95.68618947","95.63459488","95.66082943","95.80974121","96.04961444","96.24235212","96.27707003","96.17770118","96.04017992","95.90192663","95.78683096","95.73790935","95.71735078","95.75427614","95.89980579",
"종합","수도권","매매가격","","102.4717309","103.7442288","104.9159351","105.71558","106.0654445","106.1238693","106.0964713","106.0544963","106.0853914","106.0472819","106.000446","105.8472457","105.4214581","104.7424006","103.6747043","101.8386845","99.19405123","97.34777006","96.00644814","95.15108741","94.68880781","94.52167618","94.54965894","94.6926461","94.97693357","95.37360321","95.68197592","95.73493713","95.60443653","95.43055357","95.28577811","95.183774","95.17277587","95.18772061","95.36455243","95.74873585",
"종합","지방","매매가격","","101.2486576","101.8822722","102.5613794","103.0858463","103.3422928","103.4829256","103.564452","103.634568","103.7226886","103.7828791","103.8110132","103.7969385","103.6085245","103.2483992","102.6817093","101.644873","100.1984434","99.04322322","98.12180121","97.44958146","97.0133341","96.76033094","96.63327954","96.54899615","96.57006045","96.66228724","96.74644028","96.76404985","96.6938888","96.59099601","96.45899155","96.33147342","96.246498","96.19220389","96.0963916","96.01634519",
"종합","6대광역시","매매가격","","101.7705177","102.638276","103.5379552","104.1504293","104.4261314","104.4809362","104.4781752","104.4195938","104.3943683","104.2898937","104.1676979","103.9895323","103.5273705","102.8114063","101.8100752","100.0431033","97.72723742","96.05765142","94.75385497","93.76231642","93.17735391","92.85030052","92.70833255","92.62899158","92.6725133","92.77148947","92.83647447","92.74864769","92.55865485","92.40539072","92.21911281","92.04940219","91.93735085","91.85732734","91.735348","91.65074657",
"종합","5대광역시","매매가격","","101.4844076","102.1632775","102.8667829","103.3672531","103.5699266","103.6043173","103.5833068","103.5194349","103.4829094","103.3963304","103.2815247","103.1317963","102.735104","102.0769799","101.1794289","99.63070976","97.5911371","95.9861575","94.62453368","93.56501074","92.88619588","92.49334126","92.2930349","92.15172181","92.14566735","92.22088841","92.26758108","92.22107039","92.07220689","91.91616666","91.70313856","91.4998125","91.36744063","91.24279215","91.04508359","90.87459493",
"종합","9개도","매매가격","","102.030759","103.0667611","104.0470419","104.7596578","105.1059983","105.2597882","105.3349234","105.4041592","105.519014","105.5851668","105.6385403","105.6148505","105.3850198","104.9733412","104.2796771","103.0262557","101.1796282","99.72773194","98.60169976","97.86798963","97.43123027","97.22585507","97.17647949","97.20908707","97.36627195","97.65118265","97.8918193","97.96809772","97.90464552","97.77002013","97.64989558","97.53965449","97.49129512","97.46432977","97.48350131","97.57098464",
"종합","8개도","매매가격","","101.1413585","101.7636647","102.4458322","103.011741","103.3460541","103.5716383","103.7285611","103.8959623","104.073241","104.2351492","104.3661413","104.4488064","104.406776","104.2523564","103.9097264","103.2185631","102.2228325","101.4359346","100.854097","100.4275483","100.1268712","99.93889732","99.83896158","99.77662395","99.80918032","99.90626037","100.015766","100.076755","100.0649225","100.0044522","99.94898515","99.89743122","99.86446439","99.87917462","99.85948744","99.85173838",
"종합","서울","매매가격","","101.2918967","102.01645","102.7431428","103.3129946","103.584352","103.6256888","103.5831374","103.5744934","103.6139953","103.6579033","103.6542275","103.5654855","103.314026","102.8313308","102.0035175","100.6398362","98.66356733","97.43215863","96.65150347","96.12405627","95.79494975","95.69405907","95.73964334","95.88006285","96.16104856","96.47073297","96.71329873","96.80564336","96.73855944","96.6247852","96.53919646","96.53684705","96.62205182","96.75471062","97.12059235","97.85716293",
"종합","강북권역","매매가격","","101.3068247","101.9312102","102.5859945","103.1058101","103.3132043","103.3132486","103.2527023","103.2211577","103.2486192","103.2871964","103.2790651","103.1317924","102.800653","102.262153","101.4515237","100.0410906","97.73493457","96.42201581","95.72813805","95.18057616","94.81830066","94.63607449","94.58322245","94.66353531","94.8796837","95.14303121","95.33420236","95.41348717","95.35761083","95.26696834","95.17401678","95.16517065","95.23320547","95.35014084","95.6889996","96.29485793",
"종합","도심권","매매가격","","100.9885185","101.5815499","102.3404191","102.9953511","103.2747631","103.2810154","103.2323355","103.2481877","103.3606582","103.4805788","103.5389147","103.5246263","103.3704834","102.9792173","102.3288731","101.4429751","99.95055288","98.92851444","98.39581508","97.97948611","97.74170078","97.63612683","97.61207991","97.71287254","97.97009188","98.31311264","98.62147247","98.824293","98.86296175","98.84957592","98.84322958","98.90382741","99.05076751","99.27403778","99.73320353","100.4901031",
"종합","종로","매매가격","","100.9419443","101.4676699","102.0696106","102.5668359","102.8169242","102.8043439","102.6864008","102.663392","102.7585257","102.8594138","102.9127714","102.8972883","102.718157","102.2922859","101.8519796","101.1733295","100.1914471","99.4096108","98.97642719","98.64479389","98.33707465","98.06313592","97.96823176","98.00439355","98.10348894","98.32258925","98.53396749","98.70406914","98.75307747","98.74434697","98.73840835","98.78440874","98.8581266","99.01365121","99.30114212","99.79437389",
"종합","중","매매가격","","100.8190113","101.3140731","101.9694824","102.5124553","102.6509032","102.6273997","102.6050093","102.5696903","102.6184499","102.6430814","102.6307454","102.4837719","102.0772159","101.4466273","100.6013648","99.33348187","96.86338016","95.47343014","94.70928849","94.15853891","93.76022718","93.6051307","93.44676115","93.49972997","93.70735054","94.07662258","94.35312838","94.4712778","94.47825618","94.45075401","94.4289116","94.46544405","94.55857656","94.71166874","95.0593386","95.67464198",
"종합","용산","매매가격","","101.1040956","101.7904545","102.7043139","103.5194888","103.8897193","103.9234955","103.9071114","103.9746252","104.1309692","104.312026","104.4097162","104.4640363","104.4558448","104.2107386","103.5217761","102.6965804","101.3777621","100.3994248","99.92726521","99.52946842","99.42150824","99.44874783","99.54154979","99.70889456","100.0929664","100.5004213","100.887491","101.1566637","101.2057939","101.1970286","101.1987146","101.2813429","101.5031823","101.8067036","102.434105","103.4342541",
"종합","동북권","매매가격","","101.4544974","102.0956731","102.6980566","103.1611643","103.361295","103.3712174","103.3216515","103.2772711","103.2898377","103.3143301","103.3034777","103.1298248","102.7641946","102.198933","101.3085281","99.66153014","97.16661192","95.76578335","95.04108144","94.44157082","94.03924064","93.85947349","93.7979968","93.86106417","94.078747","94.33295654","94.51937564","94.58339662","94.51644","94.4045445","94.29538618","94.26603589","94.30354455","94.39901689","94.69182905","95.2310022",
"종합","성동","매매가격","","100.8874401","101.2876988","101.6845925","101.9894281","102.1177233","102.1654816","102.1637438","102.157418","102.1672297","102.1857553","102.2021613","102.1908049","102.1445802","101.9942139","101.4944708","100.4313039","98.99924757","98.10166203","97.41109511","96.80316225","96.44840592","96.43049386","96.48572188","96.81062142","97.57502686","98.15619755","98.62278698","98.89648005","99.02518437","98.9392155","98.77795969","98.78392073","99.02999928","99.55943315","100.5214073","102.4723991",
"종합","광진","매매가격","","100.7158831","101.0376771","101.3544101","101.6424594","101.8770163","101.9412584","101.9225978","101.9054256","101.9006375","101.9772065","102.0650952","102.0782447","102.0724521","101.9533873","101.6459317","101.0282279","100.0107594","99.03452473","98.21887841","97.41703197","96.83905952","96.47802767","96.47528674","96.60734951","96.8340606","97.05245338","97.25653399","97.36609347","97.35090111","97.34454624","97.32443995","97.39597476","97.52312103","97.67379989","98.09020948","98.67340211",
"종합","동대문","매매가격","","101.0210802","101.6256566","102.0912478","102.3869212","102.5659103","102.5858501","102.5780141","102.5650003","102.6093877","102.7091258","102.8877251","102.8302439","102.5926252","102.1878993","101.4726251","100.0310191","97.74792973","96.33321387","95.46688923","94.76616464","94.35330538","94.1292268","94.08508086","94.26386399","94.74039549","95.26245702","95.6874544","95.90952215","95.90468113","95.82165122","95.73185622","95.73772745","95.77514091","95.87848232","96.25905361","96.96009444",
"종합","중랑","매매가격","","101.1087357","101.6665899","102.2235028","102.7460221","102.9671746","103.0430711","103.0383059","103.0070631","103.0736583","103.1471353","103.1793013","103.1503764","102.9942221","102.6227271","101.9670716","100.7715052","98.78214472","97.5803291","96.75385921","96.10606313","95.70750407","95.451712","95.37342858","95.42337103","95.60771744","95.88588964","96.06364887","96.12528281","96.05774771","95.96351071","95.87032693","95.8572146","95.85034432","95.91234229","96.20223736","96.64414014",
"종합","성북","매매가격","","101.2123661","101.8284181","102.5034676","103.0848029","103.296045","103.253846","103.1133625","103.0831969","103.0932724","103.1208793","103.047939","102.8604543","102.4893656","101.9078785","100.914501","99.28378442","96.53077743","95.05098803","94.54143868","94.08333605","93.63733253","93.42082732","93.33618406","93.37726995","93.59467757","93.94999056","94.15540809","94.25621759","94.23347768","94.12498778","94.05715968","94.07986193","94.19518408","94.33606534","94.66434884","95.22949042",
"종합","강북","매매가격","","100.9394332","101.3614897","101.7952688","102.1920278","102.3423775","102.3951738","102.3616098","102.2893288","102.3358264","102.4133832","102.4246838","102.3730055","102.2071377","101.9627065","101.4595328","100.4224737","98.84630942","97.90958362","97.22895895","96.75257022","96.36413331","96.06529277","95.90167846","95.85794536","95.87115041","95.90544194","95.94535503","95.93017084","95.85829478","95.79184678","95.71836887","95.66413254","95.65576296","95.67702798","95.77468184","95.93644578",
"종합","도봉","매매가격","","102.0986148","102.8616735","103.6212972","104.1491259","104.3268784","104.3511451","104.3012136","104.2182703","104.1822958","104.1853361","104.1494297","103.8146813","103.1974531","102.3429559","101.1848054","98.95421478","96.00970615","94.29387955","93.36080676","92.50354813","91.89086088","91.62191095","91.48414357","91.48129144","91.57186186","91.67690671","91.76484424","91.74770928","91.61814994","91.46035782","91.27016404","91.1667121","91.09185622","91.05591124","91.087934","91.22941446",
"종합","노원","매매가격","","102.6772475","103.7564963","104.672335","105.2844627","105.5362917","105.4555539","105.3722249","105.2946347","105.279706","105.1828727","105.0113763","104.535962","103.6558239","102.4416897","100.831344","97.98805519","93.78963508","91.85708591","91.25158148","90.84024566","90.66920362","90.72227699","90.69587009","90.66083927","90.68816678","90.78392565","90.83382361","90.76142168","90.55770204","90.35967052","90.21187495","90.109086","90.07468886","90.05787268","90.19361628","90.50617819",
"종합","서북권","매매가격","","101.0724281","101.6681501","102.4097277","103.0139198","103.2083757","103.1807869","103.0873812","103.0676683","103.0958725","103.1347695","103.1047403","102.9665671","102.6461167","102.1117606","101.4338858","100.3986071","98.22577105","97.01400697","96.3310862","95.86081605","95.54854965","95.32813438","95.28523394","95.4008777","95.59591515","95.84922821","96.00364738","96.07040004","96.00349759","95.93483707","95.84730034","95.86180176","95.97468294","96.10227387","96.50833634","97.22120707",
"종합","은평","매매가격","","101.2611242","101.9582599","102.7239897","103.3735126","103.5603381","103.509406","103.3692106","103.3517615","103.3875253","103.4275626","103.3705861","103.2199366","102.8854058","102.3648361","101.6463581","100.5399515","98.33502171","97.1449159","96.50369253","96.0858115","95.78096606","95.54647039","95.38233263","95.39104217","95.48336296","95.66233514","95.73788037","95.78764633","95.76809314","95.70598815","95.63149282","95.62413708","95.68072108","95.73566849","96.02969689","96.48923469",
"종합","서대문","매매가격","","100.8057288","101.2059411","101.8046085","102.2720424","102.458598","102.439054","102.3460666","102.3190719","102.3457249","102.3977463","102.3803568","102.268798","101.9304066","101.3737672","100.656671","99.55668407","97.42297803","96.06734991","95.33499597","94.85348265","94.48736178","94.23114391","94.14016844","94.18657424","94.28494948","94.49902567","94.66316604","94.75121336","94.6835982","94.61744218","94.51634874","94.5050947","94.59915457","94.7155942","95.15057143","95.89750335",
"종합","마포","매매가격","","101.0525","101.6824106","102.5144562","103.1764428","103.3876202","103.3836299","103.3510251","103.3345934","103.3542409","103.3803992","103.3747784","103.230125","102.94348","102.4102012","101.819162","100.9328317","98.7685773","97.64951193","96.95404983","96.42529675","96.14873917","95.9767376","96.13190281","96.4455189","96.8569249","97.24108208","97.49080152","97.56172768","97.43321389","97.35363809","97.26034292","97.32628768","97.53081601","97.76551338","98.29717428","99.32245256",
"종합","강남권역","매매가격","","101.2777681","102.0972018","102.8921178","103.5094946","103.8416703","103.9223084","103.8968943","103.9100678","103.9610437","104.0100322","104.0106037","103.9776903","103.8023355","103.3730206","102.5287897","101.2098971","99.55071887","98.39743905","97.53365066","97.02547999","96.72816996","96.7053251","96.84553131","97.04381161","97.3872741","97.74164123","98.03382032","98.13877536","98.06086783","97.9248434","97.84634394","97.85024609","97.95197024","98.09975692","98.49163531","99.35420042",
"종합","서남권","매매가격","","101.0812265","101.674448","102.2875756","102.7684454","103.0392826","103.1198318","103.1127787","103.1040141","103.1233344","103.1519443","103.142565","103.092071","102.9292895","102.5175129","101.7755083","100.5298889","98.91232572","97.62479938","96.64122512","95.97153599","95.54843784","95.28798842","95.16268107","95.24763876","95.43445747","95.68914419","95.97759635","96.09867317","96.01354469","95.9094401","95.81783419","95.79783086","95.8634461","95.94905919","96.22046868","96.74814742",
"종합","양천","매매가격","","101.0152031","101.4870405","102.0060863","102.4834534","102.7908015","102.9075303","102.8874476","102.8875037","102.935482","102.9777872","102.96894","102.9484448","102.8138549","102.4725744","101.7301269","100.5213276","99.13132536","98.28593853","97.54377506","97.0399697","96.77811822","96.5758473","96.43027361","96.70253158","97.10339926","97.60536394","97.987761","98.21784649","98.19773998","98.11945088","98.06269015","98.07901672","98.24347075","98.38466718","98.69326682","99.21940041",
"종합","강서","매매가격","","101.1438617","101.8580422","102.433198","102.9121898","103.1847779","103.2577986","103.2507961","103.2305731","103.2113778","103.2017209","103.1381315","103.0159658","102.8114783","102.3048611","101.4697239","100.242512","98.59527146","96.95536429","95.7792649","94.89941471","94.27039793","93.81739169","93.5959996","93.60619116","93.71523195","93.8487496","94.13801883","94.29147985","94.19552833","94.01325721","93.84875298","93.82467393","93.86106097","93.87124611","94.05976787","94.38299349",
"종합","구로","매매가격","","100.9824297","101.5890436","102.2312642","102.7648768","103.094782","103.1785971","103.1700235","103.1640925","103.1679552","103.180311","103.1746743","103.0862041","102.8806069","102.4162508","101.6381885","100.4181604","99.02450336","97.63644722","96.65783804","96.02226521","95.40524602","95.06772599","94.95722961","94.99599634","95.08409434","95.273358","95.51690219","95.50371502","95.25122437","95.12311474","95.0332972","94.93337754","94.93055204","94.97761571","95.27491706","95.82641154",
