어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
조종하나어린이집,경기도,가평군,국공립,62,12,경기도 가평군 조종면 조종희망로26번길 25,031-585-1105,031-585-1175,14,2,29,Y,,2024-06-11
엔젤어린이집,경기도,가평군,민간,39,8,경기도 가평군 조종면 연인산로 19-1,031-585-9170,031-585-9170,5,0,8,Y,,2024-06-11
해든나라어린이집,경기도,가평군,가정,20,5,경기도 가평군 가평읍 중촌로 15-51,031-582-5795,0504-213-9733,3,0,4,Y,,2024-06-11
홍익어린이집,경기도,가평군,민간,98,14,경기도 가평군 가평읍 석봉로153번길 16,031-581-2662,031-581-2662,8,1,13,Y,,2024-06-11
가평어린이집,경기도,가평군,국공립,72,12,경기도 가평군 가평읍 가화로 163,031-582-3069,031-581-3069,10,3,16,Y,,2024-06-11
가평자이어린이집,경기도,가평군,국공립,25,10,경기도 가평군 가평읍 문화로 91 가평자이아파트 104동  L층,031-581-1337,,6,0,11,Y,,2024-06-11
꼬마별어린이집,경기도,가평군,가정,20,3,경기도 가평군 가평읍 가화로 223,031-585-0037,,3,0,4,Y,,2024-06-11
꿈에그린어린이집,경기도,가평군,직장,30,9,경기도 가평군 조종면 청군로 1149,031-585-1002,031-585-7687,6,0,14,N,,2024-06-11
남이섬어린이집,경기도,가평군,직장,60,12,경기도 가평군 가평읍 북한강변로 1007-34,031-581-8601,031-581-8602,7,4,32,Y,,2024-06-11
두손어린이집,경기도,가평군,민간,78,12,경기도 가평군 가평읍 정간내로19번길 22,031-582-6336,031-582-6338,6,1,11,Y,,2024-06-11
맹호어린이집,경기도,가평군,직장,73,12,경기도 가평군 조종면 청군로 1208,031-585-1133,031-585-1131,12,1,21,N,,2024-06-11
보람어린이집,경기도,가평군,사회복지법인,59,8,경기도 가평군 상면 청군로 961-41,031-585-6543,031-584-6543,5,2,14,Y,,2024-06-11
쁘띠베베어린이집,경기도,가평군,가정,18,5,경기도 가평군 조종면 청군로 1319,031-584-1529,031-585-1528,3,0,5,Y,,2024-06-11
생명의빛어린이집,경기도,가평군,가정,20,4,경기도 가평군 상면 기와집길 4,031-585-6624,031-585-6624,3,0,4,Y,,2024-06-11
설악어린이집,경기도,가평군,국공립,59,8,경기도 가평군 설악면 한서로 18-16,031-584-5687,031-584-5684,5,1,13,Y,,2024-06-11
아이편한어린이집,경기도,가평군,국공립,29,6,경기도 가평군 가평읍 문화로 167 101동 1층,031-582-1005,,6,2,13,Y,,2024-06-11
예원어린이집,경기도,가평군,민간,95,11,경기도 가평군 가평읍 가화로 202,031-581-7292,031-581-7545,6,2,16,Y,http://cafe.daum.net/kids...,2024-06-11
청심어린이집,경기도,가평군,민간,34,6,경기도 가평군 설악면 미사리로286번길 16,031-589-9900,031-589-9917,4,0,6,Y,,2024-06-11
청평어린이집,경기도,가평군,법인·단체,49,9,경기도 가평군 청평면 잠곡로 59,031-584-0237,031-585-9925,4,1,8,Y,,2024-06-11
한석봉어린이집,경기도,가평군,국공립,70,12,경기도 가평군 가평읍 석봉로191번길 19,031-581-1478,,12,3,25,Y,http://hsbchildcare.kr/,2024-06-11
해맑은어린이집,경기도,가평군,민간,28,6,경기도 가평군 청평면 강변나루로 54,031-584-0661,031-584-0661,3,0,4,N,,2024-06-11
환두레어린이집,경기도,가평군,민간,80,9,경기도 가평군 가평읍 석봉로3번길 68-15,031-582-8605,031-582-8607,6,1,11,Y,,2024-06-11
동화마을어린이집,경기도,가평군,가정,20,6,경기도 가평군 설악면 신천중앙로120번길 20-45,031-584-2511,,3,0,4,Y,,2024-06-11
또래아이사랑어린이집,경기도,가평군,민간,32,6,경기도 가평군 조종면 조종새싹로 49,031-585-0373,031-585-3683,6,2,15,Y,http://cafe.daum.net/kidslove0373,2024-06-11
북면어린이집,경기도,가평군,국공립,56,7,경기도 가평군 북면 석장모루길 10,031-582-8357,031-582-8357,5,1,9,Y,,2024-06-11
사랑의동산어린이집,경기도,가평군,법인·단체,62,11,경기도 가평군 청평면 청평중앙로 39-1,031-584-6057,031-584-7057,4,1,10,Y,,2024-06-11
세종대왕어린이집,경기도,가평군,민간,80,10,경기도 가평군 조종면 조종새싹로 64,031-585-3420,031-585-3421,6,1,12,Y,,2024-06-11
청평새나래어린이집,경기도,가평군,국공립,85,10,경기도 가평군 청평면 갈오현로 21,031-584-5844,031-584-5842,12,1,21,Y,,2024-06-11
일산예일어린이집,경기도,고양시,민간,78,14,경기도 고양시 일산동구 장백로 88 (백석동),031-906-6165,031-907-6165,6,2,7,Y,,2024-02-29
일산파밀리에연세아이어린이집,경기도,고양시,민간,89,16,"경기도 고양시 일산서구 하이파크3로 61 (덕이동, 일산파밀리에 4단지내)",031-917-0900,031-917-0920,7,1,9,N,,2024-02-29
서정빅스맘어린이집,경기도,고양시,민간,38,11,"경기도 고양시 덕양구 소원로181번길 20 (행신동,서정마을7단지 내 보육시설)",031-978-5533,031-978-5533,4,0,7,N,,2024-02-29
성사영아 어린이집,경기도,고양시,가정,19,13,"경기도 고양시 덕양구 호국로 860 214동 101호(성사동, 래미안휴레스트)",031-967-9636,031-818-9636,4,0,4,N,,2024-02-29
고양시립늘품어린이집,경기도,고양시,국공립,45,11,경기도 고양시 덕양구 향기로 112,02-3158-0902,02-3158-0903,4,1,15,N,http://cafe.naver.com/0186064287,2024-02-29
고양시립다움어린이집,경기도,고양시,국공립,70,15,경기도 고양시 일산동구 월드고양로 21,031-815-3220,031-0000-0000,5,1,19,N,http://cafe.naver.com/baby0319076707,2024-02-29
키즈월드어린이집,경기도,고양시,가정,19,10,"경기도 고양시 덕양구 화신로 102 2411동 102호(행신동, 햇빛마을일신건영24단지아파트)",031-813-5228,031-0000-0000,4,0,4,N,,2024-02-29
키즈파크어린이집,경기도,고양시,민간,50,10,"경기도 고양시 덕양구 신원3로 20 관리동(신원동, 신원마을고양삼송아이파크)",02-381-3363,070-4324-3363,4,1,6,Y,,2024-02-29
탄현동신어린이집,경기도,고양시,민간,26,7,"경기도 고양시 일산서구 산현로17번길 38 탄현마을11단지 관리동(탄현동, 탄현마을11단지아파트)",031-922-7959,031-925-7959,4,0,4,Y,,2024-02-29
탄현우리어린이집,경기도,고양시,민간,205,17,경기도 고양시 일산서구 홀트로 62 (탄현동),031-914-3339,031-914-3383,14,2,20,Y,,2024-02-29
탄현해달별어린이집,경기도,고양시,가정,20,6,경기도 고양시 일산서구 탄현로 136 101동 102호(일산에듀포레푸르지오),031-913-2236,031-0000-0000,4,0,4,N,,2024-02-29
솔로몬어린이집,경기도,고양시,가정,19,9,경기도 고양시 일산서구 고양대로 620 201-104(일산동 동문아파트),031-813-7757,031-0000-0000,3,0,4,N,,2024-02-29
솔숲어린이집,경기도,고양시,민간,49,1,경기도 고양시 덕양구 지정로 60,000-0000-0000,031-0000-0000,4,0,0,N,,2024-02-29
