"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41220-00001,잔다리 근린공원,근린공원,,경기도 평택시 세교동 55,37.004773,127.087643,11209,,,,,,2010-04-01,경기도 평택시청,031-8024-4248,2024-03-08
41220-00002,남산 근린공원,근린공원,경기도 평택시 팽성읍 팽성송화로 76,경기도 평택시 팽성읍 남산리 산49-1,36.954556,127.054893,43411,,,,,,2010-12-30,경기도 평택시청,031-8024-4248,2024-03-08
41220-00003,남산공원,근린공원,경기도 평택시 팽성읍 송화택지로25번길 63,경기도 평택시 팽성읍 송화리 789,36.961612,127.060809,15253.8,게이트볼장+마라톤운동기+심판의자+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+족구대+족구장+철봉+평행봉+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,음수대+화장실,,맹암거(간선)+맹암거(지선)+빗물받이+옹벽+우수관+원형수로관+조각 조형물(가족)+집수정+트랜치,1999-03-19,경기도 평택시청,031-8024-4248,2024-03-08
41220-00004,농성 근린공원,근린공원,,경기도 평택시 팽성읍 안정리 78-27,36.965206,127.043748,29511,다리뻗치기+등허리지압기+옆파도타기+온몸근육풀기+온몸허리돌리기+평행봉+하늘걷기,,화장실,,기념비+기념비석+우수맨홀+집수정+충무공 임팔급 기념비+통합기준점+트랜치,1988-05-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00005,다솜 근린공원(소사벌택지 1호),근린공원,,경기도 평택시 비전동 1005-1 1028-3 1089-3,37.002667,127.093562,59205,등허리지압기+레그프레스+마라톤운동 장형+배드민턴장+배드민턴지주대+옆파도타기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+파크골프장+하늘걷기,,자전거보관대+화장실,,맹암거+오수맨홀+우수관+우수관로+원형맨홀+집수정,2007-11-07,경기도 평택시청,031-8024-4248,2024-03-08
41220-00006,당산 근린공원(소사벌택지 3호),근린공원,,경기도 평택시 죽백동 728공,37.009141,127.116307,42417.7,레그프레스+롤링웨이스트(일반형)+바디싣업+스트레칭로라+체어웨이트+크로스컨트리+트윈트위스트,,자전거보관대+화장실,,PE원형개량오수받이+상수관로+오수관로(PVC이중벽관+관급)+옹벽+우수관로(PVC이중벽관+관급)+원형수로관+집수정-녹지용+집수정-포장용+측구수로관(녹지용)+측구수로관(포장용)+토목(산마루측구)+트랜치,2007-11-07,경기도 평택시청,031-8024-4248,2024-03-08
41220-00007,덕동산 근린공원(비전지구),근린공원,,경기도 평택시 비전동 산84-14,36.997727,127.100058,145023,네트걸이+농구대+농구장+다리걸기+다리뻗치기+등부딪히기+등허리지압기+마라톤운동기+매달리기+미니철봉+배드민턴장+벤치프레스+양팔줄당기기+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+원형목재 평균대+윗몸일으키기+지압보도+철기둥+철봉+철봉+링+팔굽혀피기+평균대+평행봉+하늘걷기+하늘사다리+허벅지근육풀기,나무숲걷기마당+모래놀이마당+모험놀이마당+실외교구 놀이마당+체험 놀이마당,급수전+음수대+자전거거치대+화장실,,U형측구+기념 헌정탑+디자인집수정+무덤+사당+위령비석+자연보호헌정기념비+정화조 맨홀+집수정+트랜치+현충탑,1953-03-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00008,동부 근린공원(비전3지구),근린공원,경기도 평택시 동부공원로 46 (비전동),경기도 평택시 비전동 880,36.993988,127.118683,29821,게이트볼장+농구대(이동식)+다리걸치기+데크관람대+배드민턴장+배드민턴지주대+벤치프레스+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸허리돌리기+운동장+윗몸일으키기+지압보도+철봉+철봉+링+팔굽혀피기+평행봉+풋살경기장+하늘걷기,그네+그네보호대+모래포장+인공암벽놀이대+조합놀이대+흔들놀이,음수전+화장실,,나트륨섭취관련 조형물+손씻기 조형물+집수정+청소년 담배끊기 조형물+치아건강 조형물+칼로리 둥근 조형물+트랜치,1994-01-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00009,동부그린 근린공원(비전3지구),근린공원,,경기도 평택시 비전동 875,36.996786,127.117584,10578,농구대+어깨근육풀기+온몸허리돌리기+운동장+족구대+철봉+평행봉+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,화장실,,조형석+집수정,1994-01-11,경기도 평택시청,031-8024-4248,2024-03-08
41220-00010,동삭 근린공원(동삭지구 1호),근린공원,경기도 평택시 동삭1로22번길 40 (동삭동 지제더샵센트럴파크아파트),경기도 평택시 동삭동 산38-2,37.022762,127.090661,11039,,,,,,2009-03-09,경기도 평택시청,031-8024-4248,2024-03-08
