시군명,도서관명,운영기관명,운영방법,소재지주소,전화번호,개관일자,홈페이지주소,자료실개방시간정보,열람실개방시간정보,자료실휴무일자정보,열람실휴무일자정보,자료실개관일수,열람실개관일수,국내도서자료수,국외도서자료수,비도서자료수,전자자료수,연속간행물자료수,WGS84위도,WGS84경도
용인시,느티나무도서관,느티나무도서관재단,사립,경기도 용인시 수지구 수풍로 116번길 22(동천동),031-262-3494,2007-11-17,www.neutinamu.org,화/수/금/토)10:00~20:00일)13:00~18:00(코로나19거리두기에따른한시적이용시간단축),해당없음,"매주월,목요일,법정공휴일(코로나19거리두기에따른한시적이용시간단축)",해당없음,239,,57664,3710,4431,15,50,37.3340125456,127.0960515574
용인시,청덕도서관,지자체,지자체직영,경기도 용인시 기흥구 구성1로 44,031-324-2991,2016-02-29,http://lib.yognin.go.kr/cheongdeok,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실)주말09:00~17:00",해당없음,"매월2,4번째월요일및법정공휴일",해당없음,324,,103045,8392,1485,0,95,37.2927939851,127.1474373646
용인시,수지도서관,지자체,지자체직영,경기도 용인시 수지구 문정로7번길 23,031-324-8971,2004-07-27,http://lib.yongin.go.kr/suji,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실",해당없음,"매월2,4번째월요일및법정공휴일",해당없음,246,,265008,15549,3670,0,123,37.3202797699,127.0946916926
용인시,구성도서관,지자체,지자체직영,경기도 용인시 기흥구 구성로77번길 17,031-324-4131,2007-05-10,http://lib.yongin.go.kr/guseong,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실,디지털자료실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",325,333,157996,8980,4266,0,99,37.2967620840,127.1189858971
용인시,죽전도서관,지자체,지자체직영,경기도 용인시 수지구 대지로 89,031-324-4641,2008-12-29,http://lib.yongin.go.kr/jukjeon,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실,디지털자료실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",321,327,174457,23994,3418,0,100,37.3304098735,127.1186467213
용인시,기흥도서관,지자체,지자체직영,경기도 용인시 기흥구 기흥로116번길 10,031-324-4753,2010-09-28,http://lib.yongin.go.kr/giheung,"평일09:00~22:00(종합자료실),09:00~18:00(어린이실,디지털자료실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",321,333,181838,14247,3573,0,104,37.2861890950,127.1135339223
용인시,흥덕도서관,지자체,지자체직영,경기도 용인시 기흥구 흥덕중앙로 153(영덕동),031-324-4141,2014-05-07,http://lib.yongin.go.kr/heungdeok,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(어린이실)주말09:00~17:00","평일,주말08:00~22:00,공휴일09:00~18:00","매월2,4번째월요일및법정공휴일","매월2,4번째월요일및신정,설,추석연휴",324,334,131043,10073,1304,0,95,37.2749835507,127.0839257264
용인시,상현도서관,지자체,지자체직영,경기도  용인시 수지구 법조로 232(상현동),031-324-4121,2015-05-20,http://lib.yongin.go.kr/sanghyeon,"평일09:00~22:00(종합자료실),09:00~18:00(유아,어린이자료실,디지털자료실)토일09:00~17:00(유아,어린이,종합,디지털자료실)","평일,주말07:00~22:00,공휴일09:00~18:00","매월1,3번째월요일및법정공휴일","매월1,3번째월요일및신정,설,추석연휴",321,333,144010,12081,1782,0,97,37.2999719376,127.0742875112
용인시,구갈희망누리도서관,지자체,지자체직영,경기도 용인시 기흥구 갈곡로12번길 1,031-324-3417,2006-07-26,http://lib.yongin.go.kr/gugal,"평일09:00018:00,토요일09:00017:00",해당없음,매주일요일및법정공휴일,해당없음,298,,42171,4936,0,0,16,37.2727374420,127.1295629380
용인시,성복도서관,지자체,지자체직영,경기도 용인시 수지구 성복1로164번길 6경기도 용인시 수지구 성복1로164번길 6,031-324-4726,2021-10-28,https://lib.yongin.go.kr/seongbok,"평일09:00~22:00(종합자료실),09:00~18:00(어린이자료실)주말09:00~17:00",해당없음,"매월2,4번째월요일및법정공휴일",해당없음,320,,32356,4962,0,0,80,37.3169135772,127.0631656554
고양시,화정도서관,지자체,지자체직영,경기도 고양시 덕양구 은빛로77번길 8(화정동) 경기도 고양시 덕양구 은빛로77번길 8(화정동),031-8075-9215,2003-09-04,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,책이음1(연속간행물실),책이음2(디지털자료실),꽃뜰)/09:00~18:00(어린이자료실)주말09:00~18:00(자료실전체)",해당없음,"매월2/4주월요일,법정공휴일",해당없음,324,,140898,11511,5186,64819,211,37.6378448576,126.8370913452
고양시,행신도서관,지자체,지자체직영,경기도 고양시 덕양구 행당로33번길 25-6(행신동),031-8075-9240,1994-05-11,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월1/3주월요일,법정공휴일","매월1/3주월요일,법정공휴일",325,325,134595,7061,1538,0,150,37.6207691332,126.8283250582
고양시,신원도서관,지자체,지자체직영,경기도 고양시 덕양구 신원 2로 24(신원동) 경기도 고양시 덕양구 신원 2로 24(신원동),031-8075-9340,2014-05-13,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실),09:00~18:00(기타자료실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월2/4주월요일,법정공휴일","매월2/4주월요일,법정공휴일",324,324,77101,2682,1618,0,136,37.6663861525,126.8863642061
고양시,삼송도서관,지자체,지자체직영,경기도 고양시 덕양구 덕수천1로 73(삼송동)경기도 고양시 덕양구 덕수천1로 73(삼송동),031-8075-9360,2014-12-23,www.goyanglib.or.kr,"평일09:00~22:00(종합자료실,디지털자료실)09:00~18:00(어린이자료실,연속간행물실)토일09:00~18:00(자료실전체)",(하절기)07:00~23:00(동절기)08:00~23:00,"매월1/3주월요일,법정공휴일","매월1/3주월요일,법정공휴일",325,325,77233,3112,1051,0,141,37.6488653963,126.8848420219
