유치원명,주소,위도,경도
새말유치원,경기도 평택시 칠원동 597번지,37.0252584774,127.1085189137
이화유치원,경기도 평택시 비전동 272-3번지,36.9963726178,127.1046324613
동화나라유치원,경기도 평택시 용이동 377번지,37.0067297011,127.1384221669
소사벌초등학교병설유치원,경기도 평택시 비전동 879-3번지,36.9953130136,127.1168763632
송신초등학교병설유치원,경기도 평택시 신장동 267번지,37.0751965301,127.0521474275
예림유치원,경기도 평택시 청룡동 397-23번지,37.0202647468,127.1224957229
청북초등학교병설유치원,경기도 평택시 청북읍 현곡리 221번지,37.0436080683,126.9353708954
안중파랑새유치원,경기도 평택시 안중읍 삼정리 234-5번지,36.965687152,126.9524156087
자연유치원,경기도 평택시 비전동 798번지,37.0003852455,127.0969579553
자연과미술유치원,경기도 평택시 이충동 372번지,37.0545267982,127.0666987274
송일초등학교병설유치원,경기도 평택시 서정동 909번지,37.062757557,127.0595543445
평택중앙초등학교병설유치원,경기도 평택시 세교동 186-1번지,37.0022939777,127.0781334024
원정초등학교병설유치원,경기도 평택시 포승읍 원정리 440번지,36.9939353669,126.8418343839
팽성초등학교병설유치원,경기도 평택시 팽성읍 송화리 233-1번지,36.950680143,127.0517767733
대일유치원,경기도 평택시 안중읍 학현리 463-9번지,36.9922732543,126.9225688044
반디유치원,경기도 평택시 이충동 612-3번지,37.0514084718,127.0571007308
평택해군유치원,경기도 평택시 포승읍 원정리 1275번지,36.9955185137,126.8331561587
나사렛유치원,경기도 평택시 통복동 170-2번지,36.9904218747,127.0806262754
계성초등학교병설유치원,경기도 평택시 팽성읍 노양리 1번지,36.9425169656,127.0072510472
세교초등학교병설유치원,경기도 평택시 세교동 556번지,37.0021856865,127.0832028869
동아유치원,경기도 평택시 지산동 1027번지,37.0808493051,127.0595959651
평택지산초등학교병설유치원,경기도 평택시 지산동 1090번지,37.077297673,127.0620240687
합정초등학교병설유치원,경기도 평택시 합정동 838번지,36.9893994722,127.0977688274
중앙유치원,경기도 평택시 안중읍 성해리 585번지,36.9931060492,126.8996486394
창신초등학교병설유치원,경기도 평택시 오성면 신리 59-1번지,37.0042994312,127.0067514311
평택송화초등학교병설유치원,경기도 평택시 팽성읍 송화리 783-6번지,36.9629502818,127.0569845701
꿈꾸는숲유치원,경기도 평택시 이충동 677번지,37.0587919289,127.0695538483
덕동초등학교병설유치원,경기도 평택시 비전동 814번지,36.9976433388,127.1072557048
부용초등학교병설유치원,경기도 평택시 팽성읍 객사리 160-1번지,36.9662483727,127.0590886707
평택초등학교병설유치원,경기도 평택시 평택동 110-2번지,36.9894419443,127.0813733197
아이다움유치원,경기도 평택시 진위면 견산리 349-1번지,37.107455908,127.0759864355
평택소화유치원,경기도 평택시 비전동 626-31번지,36.9966491594,127.0904818752
창의유치원,경기도 평택시 청북읍 옥길리 287-7번지,37.0269931618,126.9109283915
한솔유치원,경기도 평택시 죽백동 468-1번지,37.016162808,127.1139613947
예일유치원,경기도 평택시 통복동 379번지,36.992032303,127.0721666686
피터팬유치원,경기도 평택시 이충동 2번지,37.0627316773,127.0746944852
평택성동유치원,경기도 평택시 비전동 611-1번지,36.9953522208,127.0934332417
자란초등학교병설유치원,경기도 평택시 비전동 1009번지,37.0034599618,127.0998639714
팽성유치원,경기도 평택시 팽성읍 객사리 83-3번지,36.9659471777,127.065415081
군문초등학교병설유치원,경기도 평택시 군문동 360-1번지,36.98799631,127.0855614535
서탄초등학교내수분교장병설유치원,경기도 평택시 서탄면 수월암리 1063번지,37.1193680844,127.015945372
안중유치원,경기도 평택시 안중읍 안중리 148-7번지,36.9895000576,126.9401761086
효덕초등학교병설유치원,경기도 평택시 고덕면 방축리 643-1번지,37.0166661825,127.0355729492
숲아이유치원,경기도 평택시 청북읍 옥길리 1098번지,37.0198821859,126.9111856453
평택이화초등학교병설유치원,경기도 평택시 비전동 1034번지,37.0038580331,127.1084038828
푸른동삭유치원,경기도 평택시 동삭동 840-2번지,37.015382892,127.1016337773
평택고덕유치원,경기도 평택시 고덕동 1902-2번지,37.052413866,127.0464443518
평택서재초등학교병설유치원,경기도 평택시 동삭동 856번지,37.0182573416,127.1039907476
평택대동초등학교병설유치원,경기도 평택시 소사동,36.9888505222,127.1313711428
군문유치원,경기도 평택시 군문동 270-7번지,36.9845518575,127.0827147998
현촌초등학교병설유치원,경기도 평택시 용이동 593-1번지,37.0005620568,127.1319664734
평택파랑새유치원,경기도 평택시 청룡동 217-10번지,37.0227169997,127.1254515453
가내초등학교병설유치원,경기도 평택시 죽백동 738번지,37.0066810311,127.1143690235
평택청아초등학교병설유치원,경기도 평택시 청북읍 옥길리 1136번지,37.023293869,126.9157011825
사랑유치원,경기도 평택시 비전동 1077번지,37.0019691587,127.1069299969
평택대동유치원,경기도 평택시 소사동 107-62번지,36.9910947234,127.1312479366
풀꽃향기유치원,경기도 평택시 청북읍 옥길리 1071번지 브라운스톤청북,37.0192923632,126.9067834692
평택모산초등학교병설유치원,경기도 평택시 동삭동 366-1번지,37.0199494329,127.0899521525
평택새빛초등학교병설유치원,경기도 평택시 칠원동 110-1번지,37.0285884359,127.1014973646
청북유치원,경기도 평택시 청북읍 옥길리 1149번지,37.0234686674,126.9200955723
청옥초등학교병설유치원,경기도 평택시 청북읍 옥길리 1103번지,37.018911971,126.9118563864
서정리초등학교병설유치원,경기도 평택시 서정동 278번지,37.0583534209,127.0581626199
갈곶초등학교병설유치원,경기도 평택시 진위면 갈곶리 240-6번지,37.1256233603,127.0720463264
서탄초등학교병설유치원,경기도 평택시 서탄면 금암리 233-1번지,37.1073878249,127.0361338085
성바울로유치원,경기도 평택시 팽성읍 송화리 12-3번지,36.9618126874,127.0565081305
송북초등학교병설유치원,경기도 평택시 지산동 642번지,37.0800164863,127.0659799222
현화초등학교병설유치원,경기도 평택시 안중읍 현화리 826-1번지,36.9824033677,126.9190365732
유진유치원,경기도 평택시 지산동 1134번지 미주2차아파트,37.0791528067,127.0639822457
오렌지유치원,경기도 평택시 지산동 1135번지 아주아파트,37.0779485595,127.0649791753
가람유치원,경기도 평택시 이충동 433-18번지,37.0585732639,127.0615356008
현덕초등학교병설유치원,경기도 평택시 현덕면 인광리 405-2번지,36.9652542427,126.9219416371
이충초등학교병설유치원,경기도 평택시 이충동 590-1번지,37.0632987728,127.066997536
진위초등학교병설유치원,경기도 평택시 진위면 봉남리 233번지,37.1006631414,127.0899226752
꿈터유치원,경기도 평택시 비전동 813-1번지 태산아파트,36.9977020431,127.1059292521
행복한아이유치원,경기도 평택시 비전동 867-1번지,36.9975286721,127.113516162
내기초등학교병설유치원,경기도 평택시 포승읍 내기리 90번지,36.979615204,126.8724516561
리라유치원,경기도 평택시 지산동 688-2번지,37.0766215519,127.0595754173
삼덕초등학교병설유치원,경기도 평택시 청북읍 삼계리 529번지,37.0395544913,126.9118321336
가사초등학교병설유치원,경기도 평택시 현덕면 권관리 2-43번지,36.9384943381,126.917180267
평택도곡초등학교병설유치원,경기도 평택시 포승읍 도곡리 1111번지,36.9889488185,126.8480690185
죽백초등학교병설유치원,경기도 평택시 죽백동 36-2번지,37.0136139014,127.1375127637
진위초등학교산대분교장병설유치원,경기도 평택시 진위면 은산리 74번지,37.0840907047,127.1211555809
장당초등학교병설유치원,경기도 평택시 장당동 630번지,37.0500853737,127.0576369936
한스유치원,경기도 평택시 이충동 125-13번지,37.0545891493,127.0714558263
아카데미유치원,경기도 평택시 청북읍 옥길리 1149번지,37.0234686674,126.9200955723
송탄초등학교병설유치원,경기도 평택시 가재동 200-3번지,37.0422409643,127.0870997305
용이초등학교병설유치원,경기도 평택시 용이동 482번지,37.0000481439,127.1467706112
소화데레사유치원,경기도 평택시 서정동 344번지,37.0554447548,127.0541305448
홍원초등학교병설유치원,경기도 평택시 포승읍 홍원리 58-4번지,37.0143731189,126.8895106897
드림153유치원,경기도 평택시 포승읍 도곡리 1135번지,36.9901391683,126.8448786969
평택안일초등학교병설유치원,경기도 평택시 안중읍 현화리 845-1번지,36.9828171856,126.9244156095
현덕초등학교광덕분교장병설유치원,경기도 평택시 현덕면 대안리 703번지,36.9441308809,126.9440346469
동삭초등학교병설유치원,경기도 평택시 동삭동 332-10번지,37.0186119409,127.0968617063
기린유치원,경기도 평택시 비전동 828-2번지 현대이화아파트,36.9968645814,127.1116651795
엔젤라유치원,경기도 평택시 서정동 85-4번지,37.0709655894,127.0560758309
평일초등학교병설유치원,경기도 평택시 합정동 368-6번지,36.9893676088,127.1070959852
현일초등학교병설유치원,경기도 평택시 안중읍 현화리 823-1번지,36.9860679923,126.9200200157
비전초등학교병설유치원,경기도 평택시 비전동 428-5번지,37.0013292929,127.0935924829
오성초등학교병설유치원,경기도 평택시 오성면 죽리 70번지,37.0082539338,126.9786819057
세아초등학교병설유치원,경기도 평택시 세교동 595번지,37.0085137379,127.0883612868
현촌유치원,경기도 평택시 용이동 593-2번지,36.9994897451,127.1320952688
솔가람유치원,경기도 평택시 청북읍 옥길리 297-15번지,37.024347227,126.908160708
노루유치원,경기도 평택시 이충동 612-3번지,37.0514084718,127.0571007308
현화유치원,경기도 평택시 안중읍 현화리 857-1번지,36.9825081098,126.9276090319
용죽초등학교병설유치원,경기도 평택시 용이동 657번지,36.9950473758,127.12401394
반지초등학교병설유치원,경기도 평택시 이충동 683번지,37.0579445233,127.0695361405
종덕초등학교병설유치원,경기도 평택시 고덕동 1903번지,37.0531793306,127.0462486022
아이들천국유치원,경기도 평택시 세교동 559번지 개나리아파트,37.0012434279,127.081848102
복창초등학교병설유치원,경기도 평택시 서정동 559-4번지,37.0712323006,127.0503033415
안중초등학교병설유치원,경기도 평택시 안중읍 안중리 247-4번지,36.9896488323,126.9260272564
지장초등학교병설유치원,경기도 평택시 서정동 824번지,37.0680326395,127.0576002794
송현초등학교병설유치원,경기도 평택시 지산동 675-19번지,37.0725117254,127.0671026548
