이름,주소,위도,경도
청북중학교,경기도 평택시 청북읍 토진리 70-5,37.04260975,126.9470749
태광중학교,경기도 평택시 신장동 263-314,37.07387961,127.052224
안일중학교,경기도 평택시 안중읍 현화리 844-1,36.98385231,126.9242944
진위중학교,경기도 평택시 진위면 가곡리 505,37.11124211,127.068807
청담중학교,경기도 평택시 팽성읍 송화리 821,36.96283564,127.0615879
평택중학교,경기도 평택시 용이동 658,36.99541027,127.1258496
청옥중학교,경기도 평택시 청북읍 옥길리 1126,37.01494321,126.9151205
비전중학교,경기도 평택시 비전동 332-1,37.00705838,127.1027738
효명중학교,경기도 평택시 장당동 470,37.04954093,127.0552406
송탄중학교,경기도 평택시 지산동 1195,37.0762772,127.0665717
세교중학교,경기도 평택시 세교동 304-11,37.01348068,127.0888084
이충중학교,경기도 평택시 이충동 675,37.05952238,127.0686905
라온중학교,경기도 평택시 서정동 2-73,37.069442,127.0677732
신한중학교,경기도 평택시 비전동 224-7,36.99356942,127.1043051
은혜중학교,경기도 평택시 장안동 390-1,37.06710457,127.0802815
포승중학교,경기도 평택시 포승읍 방림리 55-2,36.98176689,126.8815907
용이중학교,경기도 평택시 용이동 438,36.99765973,127.1350883
안중중학교,경기도 평택시 안중읍 현화리 292-3,36.98672764,126.9230967
도곡중학교,경기도 평택시 포승읍 도곡리 1112,36.98922145,126.8488065
장당중학교,경기도 평택시 장당동 640,37.0515362,127.062869
평택여자중학교,경기도 평택시 비전동 236-21,36.99334133,127.1025224
현화중학교,경기도 평택시 안중읍 현화리 827,36.98231607,126.9200361
한광여자중학교,경기도 평택시 비전동 504,36.99700113,127.0960204
한광중학교,경기도 평택시 비전동 504,36.99718241,127.095986
오성중학교,경기도 평택시 오성면 숙성리 125,37.00873987,126.9803909
동삭중학교,경기도 평택시 칠원동 산62-1,37.01951069,127.1052777
민세중학교,경기도 평택시 고덕면 율포리 348-2,37.05369948,127.0400319
배다리중학교,경기도 평택시 죽백동 793,37.00504372,127.1218136
