이름,주소,위도,경도
창신초등학교,경기도 평택시 오성면 신리 59-1,37.00422529,127.0065025
삼덕초등학교,경기도 평택시 청북읍 삼계리 529,37.0400343,126.9119034
서탄초등학교,경기도 평택시 서탄면 금암리 233-1,37.1073282,127.035832
안중초등학교,경기도 평택시 안중읍 안중리 247-4,36.98954472,126.9257589
청옥초등학교,경기도 평택시 청북읍 옥길리 1103,37.0190794,126.9117446
평택초등학교,경기도 평택시 평택동 110-2,36.98938929,127.0811492
송북초등학교,경기도 평택시 지산동 642,37.08024519,127.0654822
팽성초등학교,경기도 평택시 팽성읍 송화리 233-1,36.95045037,127.051433
평일초등학교,경기도 평택시 합정동 368-6,36.99008691,127.1071052
현촌초등학교,경기도 평택시 용이동 593-1,37.00025854,127.1319038
갈곶초등학교,경기도 평택시 진위면 갈곶리 240-6,37.12550341,127.0719771
평택안일초등학교,경기도 평택시 안중읍 현화리 845-1,36.98268413,126.9243945
부용초등학교,경기도 평택시 팽성읍 객사리 160-1,36.9657427,127.0591209
평택중앙초등학교,경기도 평택시 세교동 186-1,37.00204008,127.0777503
원정초등학교,경기도 평택시 포승읍 원정리 440,36.99402826,126.8416452
배다리초등학교,경기도 평택시 죽백동 793,37.00488896,127.1216053
장당초등학교,경기도 평택시 장당동 630,37.05007843,127.0574751
소사벌초등학교,경기도 평택시 비전동 879-3,36.99516696,127.1167669
이충초등학교,경기도 평택시 이충동 590-1,37.06316077,127.0668733
현덕초등학교광덕분교장,경기도 평택시 현덕면 대안리 703,36.94399933,126.9438398
비전초등학교,경기도 평택시 비전동 428-5,37.0011276,127.0932561
평택도곡초등학교,경기도 평택시 포승읍 도곡리 1111,36.98883837,126.8477026
현일초등학교,경기도 평택시 안중읍 현화리 823-1,36.98600256,126.9199642
복창초등학교,경기도 평택시 서정동 559-4,37.07098357,127.0498433
서정리초등학교,경기도 평택시 서정동 278,37.05836093,127.0571555
내기초등학교,경기도 평택시 포승읍 내기리 90,36.97947557,126.8725162
지장초등학교,경기도 평택시 서정동 824,37.0680549,127.0574454
합정초등학교,경기도 평택시 합정동 838,36.98938026,127.0978758
용죽초등학교,경기도 평택시 용이동 657,36.99494869,127.1239629
어연초등학교,경기도 평택시 청북읍 어연리 233,37.049563,126.9778959
죽백초등학교,경기도 평택시 죽백동 40-2,37.01344834,127.1372742
송현초등학교,경기도 평택시 지산동 675-19,37.07238953,127.066774
청북초등학교,경기도 평택시 청북읍 현곡리 221,37.04333301,126.9350763
계성초등학교,경기도 평택시 팽성읍 본정리 218-1,36.94282411,127.007007
진위초등학교산대분교장,경기도 평택시 진위면 은산리 74,37.08401577,127.121035
송탄초등학교,경기도 평택시 가재동 200-3,37.04228758,127.0868188
세아초등학교,경기도 평택시 세교동 294-2,37.00836879,127.0881801
평택송화초등학교,경기도 평택시 팽성읍 송화리 783-6,36.96283685,127.0568814
송일초등학교,경기도 평택시 서정동 909,37.06280398,127.0589969
평택지산초등학교,경기도 평택시 지산동 1090,37.07717136,127.0619758
세교초등학교,경기도 평택시 세교동 556,37.00212071,127.0827161
반지초등학교,경기도 평택시 이충동 683,37.05781788,127.0694447
동삭초등학교,경기도 평택시 동삭동 332-7,37.01847437,127.0969253
용이초등학교,경기도 평택시 용이동 482,36.99995933,127.1465914
자란초등학교,경기도 평택시 비전동 1009,37.00329858,127.0995016
현덕초등학교,경기도 평택시 현덕면 인광리 405-2,36.96579537,126.9210639
송신초등학교,경기도 평택시 신장동 267,37.07542259,127.0514971
덕동초등학교,경기도 평택시 비전동 814,36.99740693,127.1070294
오성초등학교,경기도 평택시 오성면 죽리 70,37.00800152,126.9786058
가사초등학교,경기도 평택시 현덕면 권관리 2-43,36.93829679,126.9168058
진위초등학교,경기도 평택시 진위면 봉남리 233,37.10071884,127.0899589
효덕초등학교,경기도 평택시 고덕면 방축리 643-1,37.01670942,127.0358082
현화초등학교,경기도 평택시 안중읍 현화리 826-1,36.98214587,126.9189136
군문초등학교,경기도 평택시 군문동 360-1,36.98781772,127.0853513
평택성동초등학교,경기도 평택시 비전동 611-1,36.99471769,127.093276
서탄초등학교내수분교장,경기도 평택시 서탄면 수월암리 1063,37.11912186,127.0156847
홍원초등학교,경기도 평택시 포승읍 홍원리 58-4,37.01431327,126.8892127
내기초등학교신영분교장,경기도 평택시 포승읍 신영리 269-1,36.95575215,126.8777774
평택이화초등학교,경기도 평택시 비전동 1034,37.00356166,127.1078357
가내초등학교,경기도 평택시 죽백동 738,37.00672257,127.1140492
평택새빛초등학교,경기도 평택시 칠원동 588,37.02492211,127.1051136
평택청아초등학교,경기도 평택시 청북읍 옥길리 1136,37.02325817,126.9157083
고덕초등학교,경기도 평택시 고덕면 좌교리 275-1,37.04111167,127.0288105
종덕초등학교,경기도 평택시 고덕면 여염리 4246,37.05309655,127.0462775
율포초등학교,경기도 평택시 고덕동 2620-4,37.0426374,127.0434233
지제초등학교,경기도 평택시 지제동 30,37.0234962,127.0781525
평택모산초등학교,경기도 평택시 동삭동 367-2,37.01973313,127.089961
평택대동초등학교,경기도 평택시 소사동 산4-4,36.98908535,127.1314973
평택서재초등학교,경기도 평택시 동삭동 856,37.01834839,127.1036556
