이름,주소,위도,경도
1206보습학원,경기도 평택시 안중읍 안현로서8길 35,36.9793123,126.9218334
1618고등입시학원,경기도 평택시 중앙로 198,36.9909868,127.1048477
1719고등학원,경기도 평택시 경기대로 1523,37.0802809,127.0623642
531스페셜학원,경기도 평택시 만세로 1839,37.0044587,127.1038916
A1에듀(edu)학원,경기도 평택시 중앙로 207,36.9912544,127.1059930
A1에듀플러스학원,경기도 평택시 중앙로 207,36.9912544,127.1059930
ACE아카데미학원,경기도 평택시 동부공원로14번길 15,36.9925700,127.1162275
ANLP&차수학학원,경기도 평택시 용죽3로 16,36.9933531,127.1256824
A팩토리미술학원,경기도 평택시 중앙로 80,36.9937629,127.0918755
B.K댄스스튜디오(DanceStudio)학원,경기도 평택시 중앙2로 13,36.9919135,127.0886955
Bell'sString바이올린학원,경기도 평택시 평택5로 159-1,36.9962857,127.1062945
BESTONE학원,경기도 평택시 송탄로 66,37.0513387,127.0565025
C?S?I종합학원,경기도 평택시 고덕면 고덕북로 213,37.0700483,127.0189916
ClassicHouse(클래식하우스)기타교습소,경기도 평택시 동부공원로 24-1,36.9929662,127.1170634
CMS에듀평택센터학원,경기도 평택시 비전4로 142,37.0087830,127.1072090
DE영어학원,경기도 평택시 모산1길 41,37.0156948,127.0923915
DM수학학원,경기도 평택시 모산1길 45,37.0154064,127.0922449
DM학원,경기도 평택시 신촌2로 22,37.0260471,127.1040567
DnB학원,경기도 평택시 경기대로 1381,37.0683262,127.0637491
Doobop비전분원실용음악학원,경기도 평택시 중앙로 309,36.9910983,127.1170177
Doobop실용음악학원,경기도 평택시 평택2로 23,36.9935197,127.0888904
DV실용음악평택보컬학원,경기도 평택시 중앙로 96,36.9934259,127.0937097
E&C학원,경기도 평택시 평남로 941,37.0046213,127.1041729
Easy이지수학교습소,경기도 평택시 평택4로 56,36.9926068,127.1019926
EIE안중캠퍼스고려대학교국제어학원,경기도 평택시 안중읍 안현로서6길 32,36.9848951,126.9259774
ELP성인어학원,경기도 평택시 평택로 17,36.9892814,127.0887495
EM영수학원,경기도 평택시 함박산8길 35,37.0388291,127.0319290
Englishmoumou비전제1학원,경기도 평택시 동부공원로14번길 17,36.9926054,127.1163602
EnglishTime영어교습소,경기도 평택시 평택4로 124,36.9981149,127.1046987
ERC영어독서클럽영어교습소,경기도 평택시 서재로 36,37.0111800,127.1016906
E하마수학학원,경기도 평택시 용죽3로 24,36.9941062,127.1254147
FEL어학원,경기도 평택시 현촌4길 16,36.9999425,127.1332695
