이름,위도,경도
동문굿모닝힐맘시티4단지,37.0255333,127.1067667
파라곤에듀포레.제일풍경채2차에듀(중),37.0405333,127.02435
서정동주공3단지,37.0605833,127.0577833
서정동주공3단지앞,37.06075,127.0577833
센트럴자이1단지,37.0162167,127.1003167
마두1리,37.10935,127.01825
배다리생태공원서문(중),37.0004667,127.116
윗머드내.평화약국,37.1290167,127.0126167
고덕아너스,37.04485,127.02435
고덕아너스,37.0449833,127.0244167
견산1리,37.1077,127.07245
견산2리,37.1059667,127.07955
진위면사무소,37.0997167,127.0901167
견산1리,37.1076,127.0725667
진위고등학교,37.10845,127.0688167
배다리생태공원서문(중),37.0021167,127.1154167
하북3리,37.1039167,127.057
하북2리,37.1042667,127.0525167
금암1리,37.1041333,127.0419333
서탄119안전센터,37.1062667,127.03705
서탄면사무소,37.1072667,127.0349667
서탄면입구,37.1035833,127.0633333
당현4리,37.07235,127.0327167
당현4리,37.0722,127.0326667
K55정문,37.07925,127.0510333
신장육교사거리,37.07925,127.0557
송탄터미널,37.0792667,127.0581667
제일아파트,37.07975,127.0611167
당현2리.율곡마을,37.0731833,127.0377
고덕아너스(중),37.0467833,127.0218
해창1리입구,37.0456833,127.0120667
지산초록도서관,37.0793167,127.0604667
송탄터미널,37.07905,127.0587
신장육교사거리,37.0791,127.0559833
K55정문,37.0791333,127.05075
공군작전사령부,37.0734,127.0312833
케이씨타운입구,37.0741,127.0268333
장등리,37.0738667,127.0253333
문곡1리,37.0689833,127.01315
금각1리,37.0695167,127.0093833
해창1리입구,37.0456,127.0121167
자란초등학교,37.0034167,127.1019667
자란초등학교,37.00295,127.1003833
유라슈퍼,37.0758167,127.0467667
e편한세상지제역아파트정문,37.01555,127.0893
e편한세상지제역아파트정문,37.0148667,127.0891
은산5리,37.0966333,127.11705
쌍용자동차출고장,37.03185,127.0902833
마산3리,37.0921,127.0930667
동아빌라,37.07285,127.0453833
은산5리입구,37.0947,127.1085333
은산4리,37.0902167,127.1168
은산3리,37.0881667,127.12
산대초교,37.0861333,127.1229
남산노인정,37.0840333,127.0495333
은산4리,37.0901333,127.1167667
동아빌라,37.0727667,127.0452833
유성사,36.9579167,127.0758333
마산1리,37.0875,127.0858667
월곡동마을입구,37.0262833,127.1350667
월곡동마을입구,37.0263,127.13495
경기평택교육도서관,37.0711167,127.0633167
