이름,주소,위도,경도
평택고덕2차아이파크,경기도 평택시 장당동 153-1,37.0364114,127.0689438
GS THE FRESH 평택고덕점,경기도 평택시 고덕동 1956-1,37.0504202,127.0476472
브리티시 고덕,경기도 평택시 고덕동 2618-3,37.0440120,127.0424994
평택프리미엄아울렛,경기도 평택시 장당동 154-2,37.0338375,127.0691430
(주)지에스리테일 평택이충점,경기도 평택시 이충동 667번지,37.0598665,127.0659725
홈플러스 평택안중,경기도 평택시 안중읍 현화리 산 274번지,36.9896332,126.9183888
뉴코아아울렛평택점,경기도 평택시 비전동 830번지 1호,36.9958737,127.1124078
홈플러스 송탄점,경기도 평택시 장당동 390번지 1호,37.0452766,127.0581595
롯데쇼핑(주) 롯데마트 평택점,경기도 평택시 합정동 968번지 1호,36.9884007,127.1117224
AK PLAZA 평택점,경기도 평택시 평택동 185번지 568호,36.9927113,127.0835658
엠프라자,경기도 평택시 평택동 35번지 3호,36.9944160,127.0885664
주)이마트평택점,경기도 평택시 지제동 50호,37.0211765,127.0758129
킴스클럽평택점,경기도 평택시 비전동 830-2호   ,36.9950122,127.1127685
