요양기관명,주소,위도,경도
평택시 송탄보건소,"경기도 평택시 서정로 295, (이충동)",37.0656917,127.0664500
평택시평택보건소,"경기도 평택시 평택5로 56, (비전동)",36.9910611,127.1119030
고덕보건지소,"경기도 평택시 고덕로 283, (고덕동)",37.0423001,127.0177448
서탄보건지소,"경기도 평택시 서탄면 금암2길 122, (서탄면)",37.1082320,127.0353250
안중보건지소,"경기도 평택시 안중읍 안현로서9길 24, 낙안빌딩 2-6층",36.9781072,126.9223179
오성보건지소,"경기도 평택시 오성면 숙성1길 4-10, (오성면)",37.0096650,126.9859135
진위보건지소,"경기도 평택시 진위면 봉남길 61, (진위면)",37.1000622,127.0905810
청북보건지소,"경기도 평택시 청북읍 청원로 2, (청북읍)",37.0398794,126.9343352
팽성보건지소,"경기도 평택시 팽성읍 팽성남산4길 6, (팽성읍)",36.9576621,127.0595588
포승보건지소,"경기도 평택시 포승읍 서동대로 1174-16, (포승읍)",36.9829430,126.8851500
현덕보건지소,"경기도 평택시 현덕면 인광길 82, 82",36.9671906,126.9211273
금각리보건진료소,"경기도 평택시 서탄면 금각1길 6-5, 6",37.0701662,127.0084189
덕목보건진료소,"경기도 평택시 현덕면 현덕로 387, (덕목리보건진료소)",36.9520657,126.9525730
동천리보건진료소,"경기도 평택시 진위면 동천길 184-1, (진위면)",37.1344954,127.1064648
두정리보건진료소,"경기도 평택시 팽성읍 두정길 53, (팽성읍)",36.9448735,127.0260264
문곡리보건진료소,"경기도 평택시 고덕면 문곡길 5, (고덕면)",37.0559425,127.0087885
신영보건진료소,"경기도 평택시 포승읍 중간촌길 20, (포승읍)",36.9534984,126.8829249
어연보건진료소,"경기도 평택시 청북읍 청원로 427, (어연리보건소)",37.0510203,126.9773507
은산리보건진료소,"경기도 평택시 진위면 은산3길 26, (진위면)",37.0853661,127.1226192
장수보건진료소,"경기도 평택시 현덕면 장수안길 35, (장수리보건진료소)",36.9397274,126.9013082
팽성원정보건진료소,"경기도 평택시 팽성읍 팽성북로 29, (팽성읍)",36.9739665,127.0428239
포승원정보건진료소,"경기도 평택시 포승읍 포승원정길 23, (포승읍)",36.9946555,126.8411147
