요양기관명,주소,위도,경도
경기도립노인전문 평택병원,"경기도 평택시 삼남로 312, (도일동)",37.0537393,127.0976195
서울요양병원,"경기도 평택시 오리곡길 30, (독곡동)",37.0882467,127.0717146
세인트힐요양병원,"경기도 평택시 고덕면 고덕북로 5, (고덕면)",37.0768764,127.0378205
의료법인 설백의료재단 평택국제요양병원,"경기도 평택시 고덕면 방축길 109, 평택 국제병원 지2,지1,4층",37.0150651,127.0469875
의료법인 양진의료재단 성모요양병원,"경기도 평택시 평택5로 65, (비전동)",36.9919482,127.1111376
의료법인 트리니티의료재단 나우누리요양병원,"경기도 평택시 고덕면 고덕북로 7, (고덕면)",37.0762453,127.0376161
의료법인 혜담의료재단 평택이편안요양병원,"경기도 평택시 안중읍 서동대로 1831-16, (안중읍)",36.9971553,126.9505629
의료법인자비의료재단 더나은요양병원,"경기도 평택시 점촌로19번길 60, (서정동)",37.0660905,127.0567923
평택삼성요양병원,"경기도 평택시 비전2로 194, 소사벌 어반테라스 1동 5층~9층층 (비전동)",37.0007641,127.1121155
평택제니스요양병원,"경기도 평택시 평택5로 94, 1~8층 (비전동)",36.9942833,127.1119277
