이름,주소,위도,경도
365그린가족의원,"경기도 평택시 지제동삭1로 41, 130동 2층 근생35호 (지제동, 지제역 더샵 센트럴시티)",37.0229222,127.0755031
365소사벌종합의원,"경기도 평택시 평남로 951, 디에이치빌딩 101호,201호 (비전동)",37.0052676,127.1034104
365연합의원,"경기도 평택시 송탄로40번길 79-16, (이충동)",37.0520932,127.0573059
LG전자(주)평택공장 부속의원,"경기도 평택시 진위면 엘지로 222, (진위면)",37.1290327,127.0916202
WIP성형외과의원,"경기도 평택시 고덕로 247, 504로 601호~604호,701호~704호 (고덕동)",37.0366002,127.0276759
강남뷰베스트의원,"경기도 평택시 중앙2로 25, 5층 (평택동)",36.9917536,127.0898733
강남셀럽의원,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 7층 705,706호 (고덕동)",37.0565574,127.0474102
강남소아청소년과의원,"경기도 평택시 안중읍 안현로서6길 68, 3층",36.9847915,126.9216156
강남재준성형외과의원,"경기도 평택시 평택5로20번길 38, (합정동)",36.9899572,127.1138885
건강드림내과의원,"경기도 평택시 지산로 64, 1,2,3,4,5층 (지산동)",37.0797134,127.0620647
건강한내과의원,"경기도 평택시 서동대로 3879, 5층 (용이동, 제이플러스)",36.9942774,127.1378517
경기성모안과의원,"경기도 평택시 탄현로 58, 강희프라자 2,6층 (서정동)",37.0576314,127.0539603
계현정형외과의원,"경기도 평택시 중앙로 296, (합정동)",36.9904766,127.1155381
고대닥터정의원,"경기도 평택시 탄현1로 160, 201호,202호,301호~304호 (신장동)",37.0741818,127.0538997
고덕바른소아청소년과의원,"경기도 평택시 함박산8길 31, 201호,202호 (고덕동)",37.0385834,127.0315337
고덕서울숲정신건강의학과의원,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 5층 513,514호 (고덕동)",37.0477733,127.0442098
고덕센트럴이비인후과의원,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 407,408,409,410,411호 (고덕동)",37.0477733,127.0442098
고덕스카이정형외과의원,"경기도 평택시 고덕중앙2로 39, 고은메디타워 6,7층 (고덕동)",37.0451903,127.0402869
고덕에듀이비인후과의원,"경기도 평택시 고덕로 250, 304,305,306,307호 (고덕동)",37.0362879,127.0282882
고덕연세내과의원,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 801,803-807호 (고덕동)",37.0477733,127.0442098
고덕으뜸이비인후과의원,"경기도 평택시 고덕로3길 27, 305호~308호 (고덕동)",37.0381535,127.0263345
고덕재활의학과의원,"경기도 평택시 고덕국제7로 117, 304호,305호 (고덕동)",37.0351969,127.0297614
고덕타임내과의원,"경기도 평택시 고덕로 250, 301,302,303호 (고덕동)",37.0362879,127.0282882
고려웰니스의원,"경기도 평택시 안중읍 안현로서8길 23, 동흥빌딩 3,5층",36.9790704,126.9227679
