이름,주소,위도,경도
서울제일병원,"경기도 평택시 안중읍 안현로 429, (안중읍)",36.9881472,126.9316706
서울제일병원,"경기도 평택시 지산로 70, 2-7층 (지산동)",37.0798033,127.0623914
성심중앙병원,"경기도 평택시 안중읍 안현로서6길 16, 성심중앙병원",36.9840808,126.9276500
스마일본병원,"경기도 평택시 비전5로 37, 3층~6층 (비전동)",37.0016056,127.1147039
연세다움병원,"경기도 평택시 중앙로 105, (비전동, 외2필지)",36.9935991,127.0948885
의료법인 청파의료재단 송탄중앙병원,"경기도 평택시 오좌동길 17-16, (독곡동)",37.0885603,127.0641088
의료법인백성의료재단 안중백병원,"경기도 평택시 안중읍 서동대로 1931-21, (안중백병원)",37.0033750,126.9586370
의료법인양진의료재단 성세아이들병원,"경기도 평택시 조개터로42번길 61, (합정동)",36.9903549,127.1061832
의료법인자비의료재단 송탄센트럴병원,"경기도 평택시 점촌로19번길 60, 제1층 103호, 제2층 201호 (서정동)",37.0660905,127.0567923
평택21세기병원,"경기도 평택시 중앙로 288, (합정동)",36.9902785,127.1144865
평택비전병원,"경기도 평택시 비전4로 47, (비전동)",37.0024639,127.1145754
평택우리병원,"경기도 평택시 비전5로 20-18, 가로수빌딩 1~4층 1층(102호),2층~4층호 (비전동)",36.9988773,127.1135773
