이름,주소,위도,경도
기운찬한방병원,"경기도 평택시 청북읍 청북남로 254, 청북센터프라자 3,4,5층",37.0196679,126.9159400
도솔한방병원,"경기도 평택시 비전5로 20-30, 2,3,4,5층 (비전동)",36.9989205,127.1151272
사랑한방병원,"경기도 평택시 경기대로 1393, 센트럴파이온 3~5층 (서정동)",37.0695463,127.0639943
지제도솔한방병원,"경기도 평택시 지제동삭2로 181-24, 4~6층, 7층 일부 (동삭동)",37.0168881,127.0937686
평택한방병원,"경기도 평택시 중앙로 128, 동호빌딩 (합정동)",36.9926735,127.0971413
365유한의원,"경기도 평택시 청북읍 안청로2길 75, (201호,301호,302호,401호)호",37.0202541,126.9163797
감초한의원,"경기도 평택시 진위면 진위서로 62, (진위면)",37.1080162,127.0697600
강남한의원,"경기도 평택시 청북읍 안청로 332, 한남프라자 202호",37.0175045,126.9159078
건강한의원,"경기도 평택시 비전3로 25, 303호 (비전동)",37.0024282,127.1047915
경기의료복지사회적협동조합 경기한의원,"경기도 평택시 안중읍 안현로 362, 2층 201호",36.9825168,126.9289554
경희 소나무한의원,"경기도 평택시 안중읍 안중로 127, (안중읍)",36.9889171,126.9307631
경희명가한의원,"경기도 평택시 고덕로 250, 4층 403,404호 (고덕동)",37.0362879,127.0282882
경희본앤척한의원,"경기도 평택시 고덕여염9길 51, 250,251,252호 (고덕동)",37.0412053,127.0511714
경희본한의원,"경기도 평택시 동삭1로22번길 19-15, 3층 302호 (동삭동)",37.0203740,127.0932929
경희봄한의원,"경기도 평택시 경기대로 218, 3층 (합정동)",36.9904234,127.1153468
경희새힘한의원,"경기도 평택시 비전3로 26, 4층 (비전동, 골든프라자 5차)",37.0023066,127.1052999
고덕365한의원,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 4층 412,413호 (고덕동)",37.0477733,127.0442098
고덕어우름한의원,"경기도 평택시 고덕로 249, 서강빌딩 404호,405호 (고덕동)",37.0367705,127.0279210
고덕패밀리한의원,"경기도 평택시 고덕중앙로 218, 3층 308,309,310,311호 (고덕동)",37.0478984,127.0449637
고덕한의원,"경기도 평택시 고덕면 궁2길 68-1, 제이엠프라자 2층 203호",37.0177706,127.0340082
고려한의원,"경기도 평택시 안중읍 안현로서8길 17, (안중읍)",36.9787443,126.9233440
고운몸한의원,"경기도 평택시 용죽2로 32-44, 2층 203호~205호호 (용이동)",36.9924366,127.1255199
고치당한의원,"경기도 평택시 평남로 722, 1층 (비전동)",36.9943015,127.1143662
구군계한의원,"경기도 평택시 문화촌로 3, 5,6층 (비전동)",36.9964563,127.1130402
구암한의원,"경기도 평택시 중앙로 126, (합정동)",36.9927948,127.0969949
기찬한의원,"경기도 평택시 송탄로 421, 2층 (지산동)",37.0812268,127.0576773
김성근한의원,"경기도 평택시 신촌2로 22, 맘스스퀘어  B동 308,309호 (칠원동)",37.0260471,127.1040567
김재훈한의원,"경기도 평택시 평택1로 39, 1층 (통복동)",36.9955269,127.0875785
낙선재한의원,"경기도 평택시 팔각정길 15-8, 1층 (비전동)",36.9972040,127.1022310
남서울한의원,"경기도 평택시 서정역로 22, (서정동)",37.0560657,127.0558206
늘푸른 경희한의원,"경기도 평택시 평택2로 37, (평택동)",36.9941374,127.0899669
다나을한의원,"경기도 평택시 이충로35번길 20-9, 이충센타프라자 (이충동)",37.0603587,127.0664844
다나음한의원,"경기도 평택시 고덕로 245, 403호 (고덕동)",37.0364245,127.0274084
다산한의원,"경기도 평택시 정암로 53, (이충동)",37.0568780,127.0596782
다인한의원,"경기도 평택시 평택5로 88, (비전동)",36.9937934,127.1119996
대정한의원,"경기도 평택시 서정역로 12, 1층 (이충동)",37.0550195,127.0556795
대추나무한의원,"경기도 평택시 안중읍 안중로 105, (안중읍)",36.9888323,126.9280912
덕동한의원,"경기도 평택시 평택5로 191, 2층 (비전동)",36.9964689,127.1028147
도곡한의원,"경기도 평택시 포승읍 여술로 20, 3층 301호",36.9877168,126.8447486
동삭한의원,"경기도 평택시 동삭로 374, 2층 204호 (동삭동)",37.0191683,127.0964532
동서한의원,"경기도 평택시 오성면 숙성시장길 41, (오성면)",37.0078645,126.9824535
동의보감한의원,"경기도 평택시 안중읍 안현로서8길 15, 302호 (우성프라자)",36.9786452,126.9235338
동인한의원,"경기도 평택시 중앙로 127, (비전동)",36.9930579,127.0972368
동희한의원,"경기도 평택시 평택5로114번길 12, (비전동)",36.9956897,127.1112284
둥근달한의원,"경기도 평택시 중앙로 106, 지하1층,지상1~5층 (합정동)",36.9932039,127.0946795
물빛한의원,"경기도 평택시 이충로35번길 26, 보람플러스Ⅰ 3층 301호 (이충동)",37.0595258,127.0662448
미소로한의원,"경기도 평택시 중앙2로 16, 셀럽시티 7,5층 일부(병실층 701호 (평택동)",36.9914681,127.0886221
바른우리한의원,"경기도 평택시 함박산9길 11, 에이스타워 203호 (고덕동)",37.0387660,127.0307687
백도연한의원,"경기도 평택시 서정역로 52-1, (서정동)",37.0585921,127.0550006
백수당한의원,"경기도 평택시 서동대로 3885-1, (용이동)",36.9944878,127.1386135
베스트한의원,"경기도 평택시 포승읍 여술2길 15, 203호",36.9867318,126.8455905
본한의원,"경기도 평택시 이충로35번길 22, 204호 (이충동, 뜨란프라자)",37.0598138,127.0667461
부광한의원,"경기도 평택시 포승읍 서동대로 1160, (포승읍)",36.9830556,126.8828608
사상의학 반룡한의원,"경기도 평택시 안중읍 안현로 541, (안중읍)",36.9968333,126.9377142
