공원명,주소,위도,경도
잔다리 근린공원,경기도 평택시 세교동 55,37.004773,127.087643
남산 근린공원,경기도 평택시 팽성읍 남산리 산49-1,36.954556,127.054893
남산공원,경기도 평택시 팽성읍 송화리 789,36.961612,127.060809
농성 근린공원,경기도 평택시 팽성읍 안정리 78-27,36.965206,127.043748
다솜 근린공원(소사벌택지 1호),경기도 평택시 비전동 1005-1 1028-3 1089-3,37.002667,127.093562
당산 근린공원(소사벌택지 3호),경기도 평택시 죽백동 728공,37.009141,127.116307
덕동산 근린공원(비전지구),경기도 평택시 비전동 산84-14,36.997727,127.100058
동부 근린공원(비전3지구),경기도 평택시 비전동 880,36.993988,127.118683
동부그린 근린공원(비전3지구),경기도 평택시 비전동 875,36.996786,127.117584
동삭 근린공원(동삭지구 1호),경기도 평택시 동삭동 산38-2,37.022762,127.090661
모산 근린공원,경기도 평택시 동삭동 396,37.014183,127.093286
배나무 근린공원(소사벌택지 4호),경기도 평택시 죽백동 764공,37.006145,127.116709
배다리 근린공원(소사벌택지 5호),경기도 평택시 죽백동 800공,37.001031,127.11924
부용산 근린공원,경기도 평택시 팽성읍 객사리 산3,36.96763,127.0604
비전 근린공원(매봉산),경기도 평택시 비전동 274-6,36.995058,127.103395
사군자 근린공원(서재지구),경기도 평택시 동삭동 710,37.007972,127.097251
사색 근린공원(서재지구),경기도 평택시 동삭동 719,37.012872,127.098871
삼각산(평택) 근린공원,경기도 평택시 비전동 473-78,37.001172,127.090938
상서재동초 근린공원(동삭2지구),경기도 평택시 동삭동 산25-1,37.018494,127.098362
상서재마당 근린공원(동삭2지구 근린2호),경기도 평택시 동삭동 산1,37.013885,127.102771
생기자리 근린공원(용죽지구),경기도 평택시 용이동 산122번지,37.006435,127.136474
세교 근린공원(세교지구),경기도 평택시 세교동 556-1,37.002585,127.083758
솔숲 근린공원(소사2지구),경기도 평택시 소사동 산13-1,36.990325,127.130417
송화 근린공원,경기도 평택시 팽성읍 송화리 106-1,36.958616,127.057677
신흥 근린공원(신흥지구),경기도 평택시 용이동 744-1번지,37.003764,127.148865
안정 근린공원,경기도 평택시 팽성읍 송화리 68-55,36.960697,127.053128
역사유적 근린공원(소사지구),경기도 평택시 소사동 506,36.987599,127.120279
영신 제1호 근린공원(영신지구),경기도 평택시 동삭동 589-3,37.018323,127.083491
영신이들 근린공원(지제 세교지구),경기도 평택시 세교동 392답,37.01125,127.073562
용이 근린공원(용이지구 3호),경기도 평택시 용이동 441-1,36.996314,127.136287
원동 근린공원 (모산영신지구),경기도 평택시 동삭동 467-9,37.022131,127.087362
은실 근린공원,경기도 평택시 세교동 산86-1,37.006568,127.081995
이화 근린공원(용이지구 2호),경기도 평택시 용이동 483,36.999855,127.145107
죽백 근린공원(용죽지구),경기도 평택시 용이동 561-1번지,37.001502,127.14932
지제울 근린공원(지제 세교지구),경기도 평택시 지제동 624-2답,37.017364,127.077589
추팔 근린공원(송화택지),경기도 평택시 팽성읍 추팔리 398-2,36.951944,127.075162
통복(원평) 근린공원,경기도 평택시 통복동 170,36.990316,127.08003
평택공단 근린공원,경기도 평택시 세교동 540,37.010515,127.079436
풀내음 근린공원(소사2지구),경기도 평택시 소사동 81-1,36.986737,127.126498
하날 근린공원(소사벌택지 2호),경기도 평택시 비전동 1035공,37.004393,127.110811
현신 근린공원(용이지구 1호),경기도 평택시 용이동 494-1,36.998446,127.151239
현촌 근린공원(현촌지구),경기도 평택시 용이동 602-2,36.997396,127.130501
노성1리 마을쉼터,경기도 평택시 팽성읍 노성리 42-1,36.9298,127.0315
노성2리 마을쉼터,경기도 평택시 팽성읍 노성리 79-9,36.935208,127.021417
노양1리 마을쉼터,경기도 평택시 팽성읍 노양리 40-15,36.936252,126.999602
노양2리 마을쉼터,경기도 평택시 팽성읍 노양리 14-9,36.941074,127.006815
노와1리 마을쉼터,경기도 평택시 팽성읍 노와리 95-1,36.958509,127.087795
노와2리 마을쉼터,경기도 평택시 팽성읍 노와리 244-2,36.949849,127.096921
노와4리 마을쉼터,경기도 평택시 팽성읍 노와리 153-190,36.951728,127.081941
대사1리 마을쉼터,경기도 평택시 팽성읍 대사리 205-7,36.944426,127.062246
동창리 마을쉼터,경기도 평택시 팽성읍 동창리 121-2,36.97213,127.03442
두1리 마을쉼터,경기도 평택시 팽성읍 두리 123-14,36.977043,127.06472
두2리 마을쉼터,경기도 평택시 팽성읍 두리 36-18,36.970214,127.063551
두정2리 마을쉼터,경기도 평택시 팽성읍 두정리 138-6,36.945054,127.026243
두정3리 마을쉼터,경기도 평택시 팽성읍 두정리 163-127,36.9445,127.032089
본정1리 마을쉼터,경기도 평택시 팽성읍 본정리 47-16,36.946182,127.007023
비전쌈지,경기도 평택시 비전동 788-3,37.000544,127.092964
석근1리 마을쉼터,경기도 평택시 팽성읍 석근리 8-9,36.939908,127.054346
석봉리 마을쉼터,경기도 평택시 팽성읍 석봉리 123-5,36.983403,127.043641
신대1리 마을쉼터,경기도 평택시 팽성읍 신대리 225-2,36.947249,127.000419
신대2리 마을쉼터,경기도 평택시 팽성읍 신대리 211-53,36.946419,126.999132
안정4리 마을쉼터,경기도 평택시 팽성읍 안정리 100-8,36.96173,127.040502
유천동 마을쉼터,경기도 평택시 유천동 788,36.973241,127.102948
자란쌈지 마을쉼터,경기도 평택시 비전동 600-25,36.99745,127.09446
평궁리 마을쉼터,경기도 평택시 팽성읍 평궁리 474-12,36.971743,127.088742
함정리 마을쉼터,경기도 평택시 팽성읍 함정리 155-11,36.953171,127.01421
율북 묘지공원,경기도 평택시 청북면 율북리 산41,37.071975,126.969708
내리 문화공원,경기도 평택시 팽성읍 내리 산3-3,36.975255,127.032559
마을마당 문화공원(소사2지구),경기도 평택시 소사동 산6,36.990495,127.131715
신흥 문화공원(신흥지구),경기도 평택시 용이동 752,37.00097,127.145431
고잔 소공원,경기도 평택시 신대동 368-18,36.996702,127.068161
남산1호 소공원(팽성6호),경기도 평택시 팽성읍 남산리 561-1,36.954545,127.063028
남산2호 소공원(팽성7호),경기도 평택시 팽성읍 남산리 564,36.953862,127.064383
노와이주1호 소공원(노와지구13호),경기도 평택시 팽성읍 노와리 460-3,36.946808,127.092641
노와이주2호 소공원(노와지구14호),경기도 평택시 팽성읍 노와리 461-17,36.946282,127.093677
두정1리 소공원,경기도 평택시 팽성읍 두정리 45-1,36.940061,127.038337
등꽃향기 소공원,경기도 평택시 비전동 839-10,36.99402,127.111466
롯데캐슬 소공원,경기도 평택시 비전동 953 954,36.99979,127.096026
본정리 소공원,경기도 평택시 팽성읍 본정리 산9-2,36.94882,127.010414
상서재3호 소공원(동삭2지구),경기도 평택시 동삭동 산15-1,37.016989,127.096875
소공원 1호(동삭 세교지구),경기도 평택시 동삭동 179-1,37.004417,127.091063
잔다리 소공원,경기도 평택시 세교동 산6-2,37.010682,127.090992
소공원1호(두정지구),경기도 평택시 팽성읍 본정리 4-4,36.945392,127.021142
소공원2호(두정지구),경기도 평택시 팽성읍 본정리 27-1임,36.945744,127.023017
소공원3호(두정지구),경기도 평택시 팽성읍 본정리 31-3답,36.946666,127.023092
송화 소공원,경기도 평택시 팽성읍 송화리 834,36.961321,127.053609
통복1 소공원,경기도 평택시 신대동 8-7,36.997714,127.082209
어울림 소공원(소사2지구),경기도 평택시 소사동 122-1,36.989273,127.124384
원정(포승)소공원(쌍용지구),경기도 평택시 포승읍 원정리 221-85,36.999847,126.838805
원정22호 소공원(쌍용지구),경기도 평택시 포승읍 원정리 281-1,36.996347,126.840059
원정리 소공원,경기도 평택시 팽성읍 원정리 87-2,36.974819,127.04034
추팔 소공원,경기도 평택시 팽성읍 추팔리 296-1,36.96384,127.075481
화촌1 소공원,경기도 평택시 통복동 242-2,36.992578,127.072429
화촌2 소공원,경기도 평택시 통복동 242-6,36.992284,127.072444
1호 물빛1 수변공원(소사벌택지  이곡수변),경기도 평택시 비전동 999공,37.005251,127.10066
2호 물빛2 수변공원(소사벌택지 이곡수변),경기도 평택시 비전동 1016공,37.003573,127.103911
3호 소리 수변공원(소사벌택지),경기도 평택시 죽백동 737-2공,37.007098,127.111214
4호 소리 수변공원(소사벌택지),경기도 평택시 비전동 1032공,37.004339,127.107357
5호 물빛3 수변공원(소사벌택지 이곡수변),경기도 평택시 비전동 1069공,37.00246,127.107881
6호 물빛4 수변공원(소사벌택지 이곡수변),경기도 평택시 비전동 1065 1093 1099,37.001798,127.111412
7호 너울 수변공원(소사벌택지),경기도 평택시 비전동 966 966-1~6,37.003257,127.090635
군문 수변공원,경기도 평택시 군문동 201-1,36.982112,127.091679
상서재 1호 수변공원(동삭2지구),경기도 평택시 동삭동 12-1,37.015396,127.104691
11호 어린이공원(서정동),경기도 평택시 동삭동 186-1,37.006472,127.093243
14호 어린이공원(고덕국제화지구  두릉리),경기도 평택시 세교동 산3-8,37.011591,127.091001
17호 어린이공원(고덕국제화지구 좌교리),경기도 평택시 세교동 26,37.004107,127.089859
