이름,주소,위도,경도
평택시립비전도서관,경기도 평택시 비전로 27 (비전동)경기도 평택시 비전로 27 (비전동),36.9958872,127.0937050
안중도서관,경기도 평택시 안중읍 서동대로 1531경기도 평택시 안중읍 서동대로 1531,36.9895053,126.9192176
청북도서관,경기도 평택시 청북읍 안청로2길 60경기도 평택시 청북읍 안청로2길 60,37.0206758,126.9181348
오성도서관,경기도 평택시 오성면 오성새싹길 3경기도 평택시 오성면 오성새싹길 3,37.0077314,126.9797430
지산초록도서관,경기도 평택시 지산로 48경기도 평택시 지산로 48,37.0789792,127.0603146
장당도서관,경기도 평택시 장당길 116경기도 평택시 장당길 116,37.0528597,127.0652293
세교도서관,경기도 평택시 은실고가길 180 (세교동)경기도 평택시 은실고가길 180 (세교동),37.0064127,127.0786466
배다리도서관,경기도 평택시 죽백6로 20경기도 평택시 죽백6로 20,37.0022317,127.1193940
팽성도서관,경기도 평택시 팽성읍 안정로95번길 15-25경기도 평택시 팽성읍 안정로95번길 15-25,36.9649309,127.0517702
진위도서관,경기도 평택시 진위서로 137경기도 평택시 진위서로 137,37.1066852,127.0783242
경기평택교육도서관,경기도 평택시 서정북로 125번길 103,37.0728567,127.0632310
