,사업장명,주소,위도,경도
1,카페보스 평택모곡점,경기도 평택시 모곡동 442-7 ,37.0364813,127.0768478
2,탑브릭스 평택서정점,경기도 평택시 서정동 1103-2 외1필지(1103-1) ,37.0650918,127.0660292
7,뮤게(Muguet),경기도 평택시 이충동 611-1 중앙 프라자 1층 101호,37.0517972,127.0563018
10,카페오아이오(O-I-O),경기도 평택시 신장동 263-160 1층 일부 ,37.0756310,127.0534953
13,아이캔커피 용이직영점,경기도 평택시 용이동 464-1 ,36.9951214,127.1382010
14,텍사스파파크레페(평택역점),경기도 평택시 평택동 65-15 ,36.9932064,127.0866628
25,오감가루는아이,경기도 평택시 세교동 625-1 ,37.0062640,127.0859070
28,감성커피(도곡초등학교점),경기도 평택시 포승읍 도곡리 1152-13 1동 1층 ,36.9882009,126.8474702
30,카페가재,경기도 평택시 가재동 141-1 외1필지 상가1동 1층 ,37.0388331,127.0856341
31,메가엠지씨커피 평택비전고사거리점,경기도 평택시 비전동 1027-3 골든프라자 ,37.0024544,127.1047611
32,마실커피 평택센트럴자이점,경기도 평택시 동삭동 835 평택센트럴자이 1단지 ,37.0169890,127.0990884
37,스트릿츄러스 평택고덕로데오점,경기도 평택시 고덕동 1887-1 삼성메디컬타워 제1동 1층 108호,37.0573231,127.0474379
39,천씨씨커피 평택포승점,"경기도 평택시 포승읍 만호리 574-7 더스위트하버 101,1호",36.9760602,126.8435386
40,아티블랑(안중농협하나로마트점),경기도 평택시 안중읍 송담리 857-1 안중농협 종합시설 1층 ,36.9764635,126.9254247
41,카페콩이,경기도 평택시 서탄면 내천리 248 ,37.1223308,127.0086210
42,어바웃유(ABOUT U),경기도 평택시 고덕동 2574-2 The Castle 1층 ,37.0411106,127.0383688
43,폰설팅,경기도 평택시 지산동 764-6 ,37.0805256,127.0561640
47,나무늘보,경기도 평택시 고덕면 방축리 390 ,37.0227502,127.0420213
48,하비스트카페,경기도 평택시 합정동 736-3 ,36.9917164,127.0933026
50,(y'aya)야야,경기도 평택시 평택동 33-12 ,36.9939349,127.0896115
53,빽다방평택고덕국제신도시점,경기도 평택시 고덕동 2647-1 ,37.0383654,127.0312443
55,메가엠지씨커피 평택안중송담점,경기도 평택시 안중읍 송담리 837-6 1층 ,36.9799606,126.9286629
58,비엣남커피(VIETNAM COFFEE),경기도 평택시 신장동 310-3 외1필지(310-10) ,37.0823749,127.0510007
59,각각,경기도 평택시 고덕면 해창리 1277-1 고덕STV지식산업센터 지1층 상가B118호 ,37.0265438,127.0157455
60,포롱포롱커피,경기도 평택시 이충동 452-7 믿음빌딩 1층 ,37.0572038,127.0582315
65,바이비 커피랩 (byB coffee lab),경기도 평택시 월곡동 212-3 ,37.0224449,127.1382854
71,더벤티 평택이충점,경기도 평택시 이충동 664-8 이충센타프라자 1층 112호,37.0603363,127.0664535
76,토프레소 조개터점,경기도 평택시 합정동 896-9 ,36.9901370,127.1031771
84,윈머영어북카페(Winmer English book cafe),경기도 평택시 고덕동 1886-2 서정타워Ⅰ 2층 212호,37.0565796,127.0478173
90,메가엠지씨커피 고덕스카이시티점,"경기도 평택시 고덕동 2613-2 고덕시티스퀘어 1층 110,111호 ",37.0452026,127.0407372
91,카페1992,경기도 평택시 지산동 807-1 1층 ,37.0794567,127.0569844
92,기디(Giddy),경기도 평택시 서정동 839-3 대한예수교장로회 송탄열방교회 1층 ,37.0663561,127.0590465
96,온통푸릇,경기도 평택시 청북읍 옥길리 1158-3 에이스 플라자(ACE PLAZA) 제1동 113호 ,37.0186884,126.9155040
97,소시지클럽(sausage club),경기도 평택시 도일동 36-6 ,37.0590952,127.1257225
99,카페가와사키,경기도 평택시 안중읍 송담리 356 2동 1층 ,36.9795656,126.9352779
102,다리 샌드위치&커피,경기도 평택시 고덕동 2045-2 에이스 S-TOWER 지식산업센터 ,37.0440035,127.0558889
104,카페브리진(Breezin),경기도 평택시 지산동 716-4 외1필지(777-4) ,37.0793981,127.0589527
108,빽다방평택고덕SBC점,경기도 평택시 고덕동 2045-3 ,37.0436829,127.0549141
115,폴바셋 삼성전자 평택캠퍼스점,경기도 평택시 고덕동 1695 외1필지(1698-1) 기술2동 1층 ,37.0347238,127.0601098
118,스타벅스 평택고덕에듀타운점,"경기도 평택시 고덕동 2696-3 LS메디컬빌딩 제1동 1층 102,103,104,105,108,109호 ",37.0364360,127.0274179
120,길섶cafe,경기도 평택시 도일동 100 ,37.0568310,127.1198920
126,스타벅스 평택팽성DT점,경기도 평택시 팽성읍 남산리 466 ,36.9549225,127.0598126
130,메가엠지씨커피 평택더퍼스트점,경기도 평택시 서정동 780 ,37.0703640,127.0616782
