,사업장명,주소,위도,경도
0,이마트24 고덕공원점,경기도 평택시 고덕동 2259-1 1층 ,37.0371976,127.0421263
8,세븐일레븐 평택지산미주점,경기도 평택시 지산동 1091 미주아파트 상가동 1층 101호,37.0761768,127.0628234
9,지에스25 평택세교은실점,경기도 평택시 세교동 196-5 ,37.0017695,127.0762846
11,씨유 평택온누리점,경기도 평택시 평택동 137-2 ,36.9876031,127.0817289
16,씨유 평택지웰테라스점,경기도 평택시 용이동 663-1 ,36.9961022,127.1270005
19,씨유평택탑건점,경기도 평택시 서정동 583-8 ,37.0728313,127.0456185
20,씨유 평택고덕에이스점,경기도 평택시 고덕동 2053-6 1층 ,37.0451305,127.0518661
22,세븐일레븐 평택롯데캐슬점,경기도 평택시 비전동 801 ,36.9994901,127.0972790
23,GS25 송탄힐스점,경기도 평택시 신장동 342-20 ,37.0826278,127.0520778
52,씨유평택서정캐슬점,경기도 평택시 서정동 287-4 ,37.0593455,127.0588144
56,지에스25 평택라페온점,경기도 평택시 평택동 64-7 ,36.9940688,127.0857158
66,세븐일레븐 포승본점,경기도 평택시 포승읍 도곡리 1139-1 1층 ,36.9901044,126.8456110
94,씨유 평택태산점,경기도 평택시 비전동 813-1 태산아파트 ,36.9984028,127.1065923
98,씨유(CU) 평택갈원점,경기도 평택시 칠원동 34-2 창성빌딩 ,37.0305905,127.1009615
103,GS25 평택동아모란점,경기도 평택시 비전동 878-5 동아모란아파트 ,36.9934024,127.1147451
121,씨유평택비전로데오,경기도 평택시 비전동 1103-3 ,36.9988944,127.1146742
129,우성사우나 여탕매점,경기도 평택시 서정동 508-2 ,37.0681349,127.0537219
135,세븐일레븐 평택서정4호점,경기도 평택시 서정동 815-21 1층 ,37.0678081,127.0618655
140,씨유 평택행복타운점,경기도 평택시 고덕동 2703-1 ,37.0352570,127.0248605
143,씨유 서평택IC점,경기도 평택시 포승읍 도곡리 744-18 1층 ,36.9880064,126.8644614
149,씨유팽성신흥길점,경기도 평택시 팽성읍 원정리 262-7 ,36.9722228,127.0455020
151,씨유 평택진위쉼터점,경기도 평택시 진위면 마산리 0 하늘빌 ,,
153,세븐일레븐 평택동고리2호점,경기도 평택시 고덕면 동고리 154-5 ,37.0066417,127.0463716
159,씨유평택에듀타운점,경기도 평택시 용이동 688-5 101호,36.9931566,127.1252111
166,씨유 평택비전지웰점,경기도 평택시 용이동 644 비전 지웰 푸르지오 106호,36.9974208,127.1225145
168,씨유 평택세교공원점,경기도 평택시 세교동 555 부영아파트 ,37.0031914,127.0858386
173,이마트24R 송탄마제스트점,경기도 평택시 모곡동 447-1 ,37.0358607,127.0711849
178,지에스25 안중역지엔점,경기도 평택시 안중읍 학현리 29-8 학현지구 공동1블록 안중 지엔하임 스테이 근린생활시설 1층 ,36.9938449,126.9273230
180,이마트24R고덕이레점,경기도 평택시 고덕동 2693-1 애플타워 제1동 1층 111호 ,37.0376595,127.0264006
195,씨유 평택세교부영점,경기도 평택시 세교동 555 부영아파트 비01호,37.0031914,127.0858386
207,지에스25 평택소사점,경기도 평택시 소사동 135-8 ,36.9884093,127.1231566
211,씨유 평택용이파크점,경기도 평택시 용이동 490-1 ,36.9994932,127.1490200
212,씨유 평택대후문점,경기도 평택시 용이동 597-6 ,36.9982304,127.1335449
225,지에스25 평택송담점,경기도 평택시 안중읍 안중리 483-1 1층 ,36.9828074,126.9324184
229,씨스페이스 첨단스카이점,경기도 평택시 고덕면 방축리 389-6 첨단스카이 1동 1층 ,37.0227455,127.0401060
230,씨유평택진위3산단점,경기도 평택시 진위면 마산리 0 ,,
231,GS25 통복타운점,경기도 평택시 통복동 149-3 ,36.9941314,127.0805138
