관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41111-00001,만석,근린공원,경기도 수원시 장안구 정조로 1067,경기도 수원시 장안구 송죽동 316,37.30064243,127.0042635,329004.3,음악분수1+바닥분수1+노인복지관1+실내배드민턴장1+축구장1+테니스장1+클레이축구장1+게이트볼장1+ 족구장1+X게임장1,,매점1+화장실3,도서관1+미술관1,주차장,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00002,정자,근린공원,경기도 수원시 장안구 만석로 65,경기도 수원시 장안구 정자동 869-1,37.29766409,126.9883063,51089.5,농구장1+게이트볼장1+배드민턴장1+테니스장1,야외무대1,화장실1,도서관1,주차장,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00003,퉁소바위,근린공원,,경기도 수원시 장안구 연무동 산21-1,37.29133938,127.025709,46817,배드민턴장1,,화장실1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00004,밤밭,근린공원,,경기도 수원시 장안구 천천동 575,37.30059174,126.9758041,10465.7,배드민턴장1,,화장실1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00005,샘내,근린공원,경기도 수원시 장안구 만석로 5번길21,경기도 수원시 장안구 천천동 520,37.29576471,126.9819051,15212.6,다목적구장(족구+배트민턴+농구)1,물놀이시설1,화장실1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00006,광교,근린공원,경기도 수원시 장안구 광교산로 159,경기도 수원시 장안구 하광교동 393-2,37.30150454,127.0312636,25849,,음악분수1+터널분수1+벽천1+계류1+야외무대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00008,정자문화공원,문화공원,경기도 수원시 장안구 이목로 24-25,경기도 수원시 장안구 정자동 947,37.3095764,126.9864004,39000,,바닥분수1,화장실1,,주차장,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00009,새싹문화공원,문화공원,경기도 수원시 장안구 수일로 164,경기도 수원시 장안구 조원동 198-14,37.30660898,127.0080955,3460,,,,대추골 도서관,,,수원시 도서관사업소,031-228-4819,2023-06-20
41111-00010,104호수변공원,수변공원,,경기도 수원시 장안구 이목동 519-138,37.31284336,126.982227,966,,,휴게쉼터,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00011,5호 체육공원,체육공원,경기도 수원시 장안구 덕영대로 623,경기도 수원시 장안구 정자동 925,37.29073825,126.986498,10634.8,족구장1,,화장실1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41113-00001,올림픽,근린공원,경기도 수원시 권선구 효원로256번길 16,경기도 수원시 권선구 권선동 1012,37.26147267,127.0285798,57559.1,테니스장1+족구장1+농구장1+배드민턴장1+,,화장실2,,주차장+약수터2,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00002,구운,근린공원,경기도 수원시 권선구 구운로 4번길 34,경기도 수원시 권선구 구운동 464,37.27849556,126.976192,52586,게이트볼장1+배드민턴장2+인라인스케이트장1,,화장실2,,약수터2,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00003,권선중앙,근린공원,,경기도 수원시 권선구 권선동 1269,37.25138141,127.0311845,26338.3,배드민턴장2(실내1+실외1)+족구장1+농구장1,,화장실2,,약수터1,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00004,권선,근린공원,,경기도 수원시 권선구 권선동 1198,37.24998179,127.0234851,11500,게이트볼장1+농구장1,물놀이시설1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00005,오목천,근린공원,경기도 수원시 권선구 오목천로 96,경기도 수원시 권선구 고색동 980,37.24105541,126.973141,21121.3,조합놀이대1+농구장1+족구장1,야외무대1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00006,탑동,근린공원,경기도 수원시 권선구 탑동로 57번길 35,경기도 수원시 권선구 탑동 746-1,37.27311789,126.9720697,14574.3,농구장1+족구장1,,화장실1,도서관,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00007,권선늘푸른,근린공원,경기도 수원시 권선구 동탄원천로 818,,37.24800774,127.0400804,33855.6,농구장1,바닥분수1+ 야외무대1,화장실1,도서관,주차장,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00008,오목호수공원,근린공원,,경기도 수원시 권선구 오목천동 1171,37.24815347,126.9645449,38718.7,,저류지1+부유분수3+야외무대1+휴게쉼터+생태관찰지 등,화장실1+관리사무소,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00009,은하수공원,근린공원,,경기도 수원시 권선구 평동 45-13,37.25632198,126.9943208,9402,,야외무대1+저류지1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00010,솔대,근린공원,,경기도 수원시 권선구 고색동 992,37.23618536,126.9817029,10354,농구장1+풋살구장1,유슈지1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00011,고색중보들,근린공원,,경기도 수원시 권선구 고색동 1129,37.24822973,126.9900297,138326.5,풋살1+게이트볼장1+배구장1+족구장1+농구장1+테니스장1,바닥분수1,화장실2,,주차장,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00012,들바람,근린공원,,경기도 수원시 권선구 고색동 931,37.24072849,126.9787184,5186.7,,,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00013,고렴,근린공원,,경기도 수원시 권선구 곡반정동 546,37.24063001,127.0292104,10571,게이트볼장1+농구장1+배드민턴장1+인라인스케이트장1,바닥분수1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00014,산울림공원,근린공원,,경기도 수원시 권선구 금곡동 1059,37.27698626,126.938702,23151.4,농구장1,,,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00015,가온공원,근린공원,,경기도 수원시 권선구 금곡동 1096,37.27260543,126.9490445,14523,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00016,호매실공원,근린공원,,경기도 수원시 권선구 호매실동 1358,37.27119348,126.948787,50894,족구장1,,,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00017,매화공원,근린공원,,경기도 수원시 권선구 금곡동 1148,37.26952284,126.9498476,17555.7,,물놀이시설1,화장실 및 관리사무실1,,애견놀이터1,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00018,바람소리공원,근린공원,경기도 수원시 권선구 서수원로 577번길 202,경기도 수원시 권선구 금곡동 1068,37.27705532,126.9457828,17255.9,그라운드골프장,,화장실1,어린이집,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00019,사랑뜰공원,근린공원,,경기도 수원시 권선구 호매실동 1370,37.26498272,126.9577427,16757.5,,,,어린이집 및 문화센터,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00020,마중공원,근린공원,,경기도 수원시 권선구 권선동 1344,37.2385727,127.0193,64604.5,농구장1+풋살장1,물놀이시설1+유수지2+텃밭,화장실2,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00021,대부둑공원,근린공원,,경기도 수원시 권선구 고색동 1189,37.25489133,126.970192,25106.8,농구장1,조합놀이대1+야외무대+음수대1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00022,105호근린공원,근린공원,,경기도 수원시 권선구 오목천동 814-1,37.2359684,126.9761943,10191.8,,,,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00023,배다리공원,근린공원,경기도 수원시 권선구 산업로 156번길 171-33,경기도 수원시 권선구 고색동 1111,37.24029343,126.9850965,20928.8,농구장1+족구장1,유슈지1,화장실1,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00024,고색체육공원,체육공원,경기도 수원시 권선구 오목천로 152번길 29,경기도 수원시 권선구 고색동 917,37.24370905,126.9782807,13502.2,축구장1,,,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00025,오목천체육공원,체육공원,,경기도 수원시 권선구 고색동 904-4,37.24725021,126.970053,45795,,,,,,,경기도 수원시 청소자원과,031-228-2247,2023-06-20
41113-00026,1호체육공원,체육공원,경기도 수원시 권선구 서수원로 577번길 171,경기도 수원시 권선구 금곡동 1071,37.27629039,126.9483114,61899.7,서수원칠보체육관,,,,,,경기도 수원시 체육진흥과,031-228-2138,2023-06-20
41113-00027,글모둠문화공원,문화공원,경기도 수원시 권선구 칠보로 169,경기도 수원시 권선구 호매실동 1369,37.26641239,126.9579934,8627.2,,,,호매실도서관,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00028,누리문화공원,문화공원,경기도 수원시 권선구 서수원로 577번길 225,경기도 수원시 권선구 금곡동 1074,37.27647038,126.9450191,13056.4,농구장1,,,청소년수련관1,생태체험관1+주차장,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00029,권선1문화공원,문화공원,,경기도 수원시 권선구 고색동 1187,37.25532774,126.9723092,3195.8,,,,,,,경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00030,한림문화공원,문화공원,경기도 수원시 권선구 동수원로 25번길 32-52,경기도 수원시 권선구 권선동 1355-4,37.23760102,127.0250249,7154.2,,,,한림도서관,,,수원시 도서관사업소,031-228-4861,2023-06-20
41113-00031,10호문화공원,문화공원,,경기도 수원시 권선구 권선동 1253,37.25336116,127.0296678,2231.6,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00032,11호문화공원,문화공원,경기도 수원시 권선구 권중로 50번길 5,경기도 수원시 권선구 권선동 1252,37.25298444,127.0312257,3301.4,바닥분수,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00033,14호문화공원,문화공원,,경기도 수원시 권선구 평동 2-36,37.25874733,126.9923985,2678.3,,,,,주차장,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00034,15호문화공원,문화공원,,경기도 수원시 권선구 평동 4-11,37.2589472,126.9931637,438.1,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
