관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41171-00001,밤동산어린이공원,어린이공원,경기도 안양시 만안구 냉천로193번길 36,경기도 안양시 만안구 안양동 711-94,37.3964058,126.9176394,1698,,,,,,1954-08-21,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00002,냉천어린이공원,어린이공원,경기도 안양시 만안구 안양로263번길 31,경기도 안양시 만안구 안양동 627-311,37.3952067,126.9220315,1615,,,,,,1954-08-21,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00003,갈뫼이린이공원,어린이공원,경기도 안양시 만안구 안양로475번길 51,경기도 안양시 만안구 석수동 295-1,37.41082388,126.9077471,5837,,,,,,1968-11-08,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00004,새샘어린이공원,어린이공원,,경기도 안양시 만안구 안양2동 824-11,37.4049898,126.9137675,943,,,,,,1968-11-08,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00005,노송어린이공원,어린이공원,경기도 안양시 만안구 안양로 139번길 15,경기도 안양시 만안구 안양6동 521-1,37.38638351,126.9305654,1656,,,,,,1970-02-18,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00006,교화어린이공원,어린이공원,경기도 안양시 만안구 현충로16번길 14,경기도 안양시 만안구 안양동 396-1,37.3931182,126.9289045,1584,,,,,,1970-02-18,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41171-00007,소곡공원,근린공원,경기도 안양시 만안구 냉천로 51,경기도 안양시 만안구 안양동 산123-1 일원,37.3861604,126.9262236,11807,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5285,2022-11-15
41171-00008,생태예술공원,문화공원,경기도 안양시 만안구 예술공원로245번길 150-1,경기도 안양시 만안구 석수동 산11-2 일원,37.43130249,126.9422641,211364,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5285,2022-11-15
41171-00009,충훈공원,문화공원,,경기도 안양시 만안구 석수동 산162-2 일원,37.4100365,126.9056923,42261,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5285,2022-11-15
41173-00010,호계공원,근린공원,,경기도 안양시 동안구 호계2동 165-8 일원,37.3799593,126.9435996,340394,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00011,자유공원,근린공원,경기도 안양시 동안구 평촌대로 76,경기도 안양시 동안구 호계동 1112 일원,37.37998178,126.9640317,192491,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00012,임곡공원,근린공원,경기도 안양시 동안구 관악대로 121번길 79,경기도 안양시 동안구 비산동 산167 일원,37.40493752,126.9369712,1025,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41171-00013,낙원놀이터,어린이공원,,경기도 안양시 만안구 안양2동 22-20 일원,37.4133415,126.920418,1653,,,,,,1974-12-04,경기도 안양시 공원관리과,031-8045-5288,2022-11-15
41173-00014,운곡공원,근린공원,,경기도 안양시 동안구 비산3동 249-6 일원,37.402573,126.9485878,30148,,,,,,1976-03-27,경기도 안양시 공원관리과,031-8045-5015,2022-11-15
41173-00015,너랑나랑어린이공원,어린이공원,경기도 안양시 동안구 평촌대로411번길 26,경기도 안양시 동안구 비산동 1016,37.40775288,126.9487971,2403,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2022-11-15
