설립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
사립,양일고등학교,031-772-2281,경기도 양평군 양평읍 양근리 148번지,경기도 양평군 양평읍 관문2길 9,12552,37.4943723497,127.4934839509
공립,동탄중앙고등학교,031-8077-5100,경기도 화성시 청계동 531번지,경기도 화성시 동탄대로시범길 167,18476,37.2012581152,127.1104627952
공립,별가람고등학교,031-523-7411,경기도 남양주시 별내동 909번지,경기도 남양주시 순화궁로 393,12103,37.6615003080,127.1221068031
공립,장호원고등학교,031-641-2028,경기도 이천시 장호원읍 노탑리 717번지,경기도 이천시 장호원읍 샘재로 27-37,17419,37.1270856190,127.6176208861
공립,점동고등학교,031-884-1478,경기도 여주시 점동면 청안리 121번지,경기도 여주시 점동면 청안로 152,12667,37.2059325485,127.6632603774
공립,예당고등학교,031-8055-6300,경기도 화성시 석우동 61번지,경기도 화성시 삼성1로 47,18460,37.2083028865,127.0802012026
공립,와부고등학교,031-579-6618,경기도 남양주시 와부읍 덕소리 33번지,경기도 남양주시 와부읍 수레로 127-20,12204,37.5947926104,127.2230576926
공립,초당고등학교,031-547-9100,경기도 용인시 기흥구 중동 1040번지,경기도 용인시 기흥구 동백중앙로 21,17013,37.2586951510,127.1632604442
공립,중산고등학교,031-910-6500,경기도 고양시 일산동구 중산동 1554번지,경기도 고양시 일산동구 중산로 290,10331,37.6969503543,126.7826061098
공립,경기과학고등학교,031-259-0400,경기도 수원시 장안구 송죽동 68-23번지,경기도 수원시 장안구 수일로 135,16297,37.3094520452,127.0063448503
사립,진위고등학교,031-646-0200,경기도 평택시 진위면 가곡리 505번지,경기도 평택시 진위면 진위서로 47,17714,37.1099112380,127.0694447819
사립,삼일공업고등학교,031-257-3131,경기도 수원시 팔달구 매향동 10-22번지,경기도 수원시 팔달구 수원천로392번길 44-60,16254,37.2854626976,127.0208738272
공립,서현고등학교,031-701-5993,경기도 성남시 분당구 서현동 91-1번지,경기도 성남시 분당구 분당로 87,13588,37.3822206752,127.1240549486
공립,성남여자고등학교,031-750-4483,경기도 성남시 중원구 성남동 2877번지,경기도 성남시 중원구 원터로94번길 6,13370,37.4354546697,127.1440337751
공립,화수고등학교,031-960-4500,경기도 고양시 덕양구 화정동 854번지,경기도 고양시 덕양구 화수로 51,10473,37.6450681877,126.8361430037
사립,신성고등학교,031-469-1414,경기도 안양시 만안구 안양동 587-68번지,경기도 안양시 만안구 소곡로 93,14090,37.3844853432,126.9195295055
공립,이현고등학교,031-645-6500,경기도 이천시 갈산동 588번지,경기도 이천시 증신로 88,17350,37.2856496479,127.4577627739
공립,광교고등학교,031-8061-8295,경기도 수원시 영통구 이의동 1346번지,경기도 수원시 영통구 도청로89번길 11,16509,37.2897266647,127.0484872675
공립,금곡고등학교,031-592-7081,경기도 남양주시 금곡동 152-18번지,경기도 남양주시 경춘로992번길 10,12238,37.6339697171,127.2136527024
사립,낙생고등학교,031-780-6314,경기도 성남시 분당구 판교동 649번지,경기도 성남시 분당구 대왕판교로 477,13480,37.3861000616,127.1003698677
공립,남한고등학교,031-790-3800,경기도 하남시 덕풍동 450번지,경기도 하남시 신평로 25,12978,37.5360207536,127.2030370076
공립,신일비즈니스고등학교,031-929-2106,경기도 고양시 일산서구 일산동 1041번지,경기도 고양시 일산서구 킨텍스로 452,10372,37.6829888561,126.7621453620
사립,안법고등학교,031-674-3807,경기도 안성시 구포동 176번지,경기도 안성시 명륜길 66,17587,37.0133379189,127.2732704124
사립,안산공업고등학교,031-482-8955,경기도 안산시 상록구 부곡동 722번지,경기도 안산시 상록구 안산공고로 51,15276,37.3363508955,126.8615938570
공립,호매실고등학교,031-547-6900,경기도 수원시 권선구 호매실동 1365번지,경기도 수원시 권선구 칠보로 142-1,16401,37.2649336144,126.9552412796
공립,고양동산고등학교,02-381-0097,경기도 고양시 덕양구 동산동 362번지,경기도 고양시 덕양구 동세로 20,10597,37.6445986469,126.8876430042
사립,한민고등학교,031-937-6600,경기도 파주시 광탄면 용미리 704-10번지,경기도 파주시 광탄면 혜음로 765,10955,37.7575389531,126.8580143006
사립,안양문화고등학교,031-470-4100,경기도 안양시 만안구 안양동 산41-1번지,경기도 안양시 만안구 양화로37번길 36,14011,37.3957638890,126.9090938926
사립,안중고등학교,031-683-3104,경기도 평택시 안중읍 현화리 315번지,경기도 평택시 안중읍 안중믿음길 32,17932,36.9856264456,126.9237539531
공립,돌마고등학교,031-780-7500,경기도 성남시 분당구 이매동 265번지,경기도 성남시 분당구 이매로 105,13571,37.3932792054,127.1322129114
공립,청평고등학교,031-589-5511,경기도 가평군 청평면 청평리 70-5번지,경기도 가평군 청평면 강변나루로40번길 23,12454,37.7314869149,127.4150102667
공립,신봉고등학교,031-8019-4909,경기도 용인시 수지구 신봉동 979번지,경기도 용인시 수지구 신봉3로 45,16808,37.3277654589,127.0629448124
공립,시흥고등학교,031-317-2744,경기도 시흥시 하상동 384번지,경기도 시흥시 상직길 25,14977,37.3896266333,126.8141255725
공립,조원고등학교,031-8012-1700,경기도 수원시 장안구 조원동 44번지,경기도 수원시 장안구 수일로233번길 15,16293,37.3073541436,127.0156343841
공립,하길고등학교,031-8055-3900,경기도 화성시 향남읍 하길리 1509번지,경기도 화성시 향남읍 상신하길로274번길 22,18611,37.1122007634,126.9102127367
사립,여주고등학교,031-883-5111,경기도 여주시 교동 454-5번지,경기도 여주시 세종로 254-58,12652,37.2719085781,127.6326893093
공립,연천고등학교,031-834-1427,경기도 연천군 연천읍 현가리 51-1번지,경기도 연천군 연천읍 연천로336번길 13,11013,38.1082203173,127.0766659121
사립,덕소고등학교,031-577-6284,경기도 남양주시 와부읍 도곡리 986번지,경기도 남양주시 와부읍 덕소로 194,12274,37.5793640041,127.2165234370
사립,동두천고등학교,031-860-1300,경기도 동두천시 생연동 451번지,경기도 동두천시 평화로2434번길 8,11314,37.9047278365,127.0592588569
사립,동우여자고등학교,031-259-4023,경기도 수원시 장안구 이목동 산28-12번지,경기도 수원시 장안구 장안로 426-1,16208,37.3190951437,126.9827274923
공립,동두천외국어고등학교,031-864-9906,경기도 동두천시 지행동 310-1번지,경기도 동두천시 지행로 145,11361,37.8927907426,127.0630490863
공립,성남외국어고등학교,031-789-2300,경기도 성남시 분당구 백현동 376-1번지,경기도 성남시 분당구 대왕판교로385번길 28,13543,37.3786236637,127.0965465979
공립,현화고등학교,031-612-5603,경기도 평택시 안중읍 현화리 830-1번지,경기도 평택시 안중읍 안현로서8길 65,17944,36.9788148435,126.9170301946
사립,영신여자고등학교,031-299-7005,경기도 수원시 권선구 오목천동 537-1번지,경기도 수원시 권선구 삼천병마로1566번길 30,16636,37.2419204061,126.9669860354
공립,창의고등학교,031-323-9252,경기도 화성시 목동 495번지,경기도 화성시 동탄신리천로1길 66,18489,37.1801985514,127.1207550168
공립,서연고등학교,031-3690-159,경기도 화성시 장지동 973번지,경기도 화성시 동탄대로4가길 6,18506,37.1608331957,127.1114699742
공립,인덕원고등학교,031-424-3092,경기도 안양시 동안구 관양동 193-3번지,경기도 안양시 동안구 안양판교로 43,13942,37.3999777509,126.9811100251
공립,풍동고등학교,031-926-6200,경기도 고양시 일산동구 풍동 1231번지,경기도 고양시 일산동구 숲속마을로 119,10303,37.6718611939,126.7951622040
공립,문산제일고등학교,031-950-9400,경기도 파주시 야동동 361번지,경기도 파주시 평화로 190,10849,37.7726110550,126.7628906695
공립,백석고등학교,031-901-0506,경기도 고양시 일산동구 마두동 784번지,경기도 고양시 일산동구 강촌로 115,10416,37.6529196834,126.7868843103
사립,백영고등학교,031-386-0510,경기도 안양시 동안구 평촌동 932번지,경기도 안양시 동안구 관평로 94,14102,37.3864574447,126.9649930564
사립,태성고등학교,031-335-9181~7,경기도 용인시 처인구 남동 28번지,경기도 용인시 처인구 백옥대로 1059-2,17063,37.2291812187,127.2101966272
공립,경기체육고등학교,031-547-8500,경기도 수원시 장안구 천천동 30-1번지,경기도 수원시 장안구 상률로 106,16322,37.3040235896,126.9785315632
공립,선부고등학교,031-495-2444,경기도 안산시 단원구 선부동 35번지,경기도 안산시 단원구 지곡로 138,15224,37.3413835935,126.7939162057
공립,장기고등학교,031-984-1851,경기도 김포시 장기동 1654번지,경기도 김포시 김포한강2로 131,10087,37.6401282067,126.6682443582
공립,흥덕고등학교,031-218-0200,경기도 용인시 기흥구 영덕동 1020번지,경기도 용인시 기흥구 흥덕2로 36,16952,37.2707403209,127.0744408702
사립,경일관광경영고등학교,031-3631-400,경기도 안산시 단원구 선부동 1053번지,경기도 안산시 단원구 석수로 131,15219,37.3479568634,126.8049531249
사립,고양외국어고등학교,031-969-9072,경기도 고양시 덕양구 관산동 332번지,경기도 고양시 덕양구 통일로 820,10286,37.6906870403,126.8611203894
사립,과천여자고등학교,02-502-3313,경기도 과천시 중앙동 11번지,경기도 과천시 희망길 36,13805,37.4326107060,126.9880849893
공립,성호고등학교,031-371-7114,경기도 오산시 원동 605번지,경기도 오산시 동부대로436번길 46,18150,37.1391427583,127.0816307871
공립,소사고등학교,032-720-7004,경기도 부천시 소사본동 401-8번지,경기도 부천시 소사로78번길 22,14774,37.4649260303,126.8002418525
공립,송탄고등학교,031-669-9882,경기도 평택시 이충동 137-5번지,경기도 평택시 정암로 142,17739,37.0562955980,127.0697254103
공립,평촌과학기술고등학교,031-390-4884,경기도 안양시 동안구 호계동 1106번지,경기도 안양시 동안구 갈산로 16,14110,37.3736021083,126.9626222054
공립,향동고등학교,02-2280-5400,경기도 고양시 덕양구 향동동 540번지,경기도 고양시 덕양구 향기3로 6,10546,37.5964614210,126.8934751115
공립,용인바이오고등학교,031-8097-3540,경기도 용인시 처인구 이동읍 송전리 692번지,경기도 용인시 처인구 이동읍 경기동로687번길 28-14,17136,37.1404408684,127.2007733483
공립,상원고등학교,070-4311-3018,경기도 부천시 상동 570-8번지,경기도 부천시 상동로 10,14590,37.4983165588,126.7524157909
공립,용인홍천고등학교,031-8008-1100,경기도 용인시 수지구 신봉동 885번지,경기도 용인시 수지구 수지로227번길 22,16816,37.3222019001,127.0823562912
공립,동탄고등학교,031-660-0100,경기도 화성시 반송동 60번지,경기도 화성시 동탄공원로1길 26-7,18436,37.2040393694,127.0603574394
공립,의정부여자고등학교,031-876-4201,경기도 의정부시 가능동 653번지,경기도 의정부시 신흥로365번길 10,11679,37.7500753994,127.0412323177
사립,이천양정여자고등학교,031-633-7803,경기도 이천시 관고동 77번지,경기도 이천시 영창로 119,17354,37.2846758280,127.4368254627
공립,부천북고등학교,032-221-6809,경기도 부천시 도당동 54번지,경기도 부천시 삼작로256번길 40,14481,37.5184895935,126.7890595968
사립,분당대진고등학교,031-706-8574,경기도 성남시 분당구 분당동 72번지,경기도 성남시 분당구 분당로 271,13583,37.3694109384,127.1381457601
