시군명,측정소명,설치년도,측정망명,측정일시각,아황산가스농도값(ppm),일산화탄소농도값(ppm),오존농도값(ppm),이산화질소농도값(ppm),미세먼지PM10농도값(μg/m³),미세먼지PM2.5농도값(μg/m³)
안양시,안양2동,2004,도시대기,2023-09-21 22:00,0.002,0.4,0.001,0.024,20,12
안양시,호계동,1992,도시대기,2023-09-21 22:00,0.002,0.3,0.015,0.018,15,10
안양시,부림동,1998,도시대기,2023-09-21 22:00,0.003,0.4,0.004,0.03,36,10
안양시,안양8동,1993,도시대기,2023-09-21 22:00,0.002,0.4,0.011,0.02,15,10
안양시,안양8동,1993,도시대기,2023-09-21 21:00,0.002,0.3,0.015,0.019,11,10
안양시,부림동,1998,도시대기,2023-09-21 21:00,0.003,0.5,0.004,0.033,39,15
안양시,안양2동,2004,도시대기,2023-09-21 21:00,0.002,0.4,0.002,0.021,19,16
안양시,호계동,1992,도시대기,2023-09-21 21:00,0.002,0.3,0.017,0.018,12,
안양시,호계동,1992,도시대기,2023-09-21 20:00,0.002,0.3,0.018,0.019,14,7
안양시,안양8동,1993,도시대기,2023-09-21 20:00,0.002,0.3,0.019,0.019,20,10
안양시,부림동,1998,도시대기,2023-09-21 20:00,0.003,0.4,0.005,0.034,25,13
안양시,안양2동,2004,도시대기,2023-09-21 20:00,0.002,0.3,0.006,0.022,23,16
안양시,안양8동,1993,도시대기,2023-09-21 19:00,0.002,0.3,0.025,0.017,20,10
안양시,부림동,1998,도시대기,2023-09-21 19:00,0.003,0.4,0.011,0.03,26,12
안양시,호계동,1992,도시대기,2023-09-21 19:00,0.002,0.3,0.018,0.02,13,5
안양시,안양2동,2004,도시대기,2023-09-21 19:00,0.002,0.3,0.018,0.021,23,13
안양시,안양8동,1993,도시대기,2023-09-21 18:00,0.002,0.3,0.03,0.015,15,11
안양시,부림동,1998,도시대기,2023-09-21 18:00,0.003,0.3,0.019,0.027,29,11
안양시,안양2동,2004,도시대기,2023-09-21 18:00,0.003,0.2,0.032,0.014,20,13
안양시,호계동,1992,도시대기,2023-09-21 18:00,0.002,0.3,0.023,0.018,10,6
안양시,안양8동,1993,도시대기,2023-09-21 17:00,0.002,0.3,0.03,0.015,17,6
안양시,호계동,1992,도시대기,2023-09-21 17:00,0.002,0.3,0.031,0.015,9,8
안양시,안양2동,2004,도시대기,2023-09-21 17:00,0.002,0.2,0.033,0.012,20,7
안양시,부림동,1998,도시대기,2023-09-21 17:00,0.003,0.3,0.033,0.015,24,8
안양시,안양8동,1993,도시대기,2023-09-21 16:00,0.002,0.3,0.034,0.014,17,6
안양시,부림동,1998,도시대기,2023-09-21 16:00,0.003,0.3,0.034,0.014,24,8
안양시,안양2동,2004,도시대기,2023-09-21 16:00,0.002,0.2,0.037,0.014,12,4
안양시,호계동,1992,도시대기,2023-09-21 16:00,0.002,0.3,0.034,0.013,9,7
안양시,안양8동,1993,도시대기,2023-09-21 15:00,0.002,0.3,0.037,0.012,15,5
안양시,안양2동,2004,도시대기,2023-09-21 15:00,0.002,0.2,0.039,0.011,20,2
안양시,부림동,1998,도시대기,2023-09-21 15:00,0.003,0.3,0.035,0.012,19,10
안양시,호계동,1992,도시대기,2023-09-21 15:00,0.002,0.3,0.036,0.012,4,
안양시,안양8동,1993,도시대기,2023-09-21 14:00,0.001,0.3,0.037,0.011,10,3
안양시,호계동,1992,도시대기,2023-09-21 14:00,0.002,0.3,0.037,0.012,2,
안양시,안양2동,2004,도시대기,2023-09-21 14:00,0.002,0.2,0.04,0.011,14,5
안양시,부림동,1998,도시대기,2023-09-21 14:00,0.003,0.3,0.034,0.012,21,10
안양시,호계동,1992,도시대기,2023-09-21 13:00,0.002,0.3,0.035,0.011,4,
안양시,부림동,1998,도시대기,2023-09-21 13:00,0.003,0.2,0.034,0.01,14,5
안양시,안양8동,1993,도시대기,2023-09-21 13:00,0.001,0.3,0.035,0.01,9,3
안양시,안양2동,2004,도시대기,2023-09-21 13:00,0.002,0.1,0.038,0.011,9,1
안양시,호계동,1992,도시대기,2023-09-21 12:00,0.002,0.3,0.032,0.012,17,7
안양시,안양2동,2004,도시대기,2023-09-21 12:00,0.002,0.1,0.036,0.009,11,2
안양시,부림동,1998,도시대기,2023-09-21 12:00,0.003,0.2,0.032,0.01,19,6
안양시,안양8동,1993,도시대기,2023-09-21 12:00,0.001,0.3,0.032,0.01,12,4
안양시,안양2동,2004,도시대기,2023-09-21 11:00,0.002,0.1,0.034,0.009,7,1
안양시,호계동,1992,도시대기,2023-09-21 11:00,0.002,0.3,0.03,0.012,13,9
안양시,부림동,1998,도시대기,2023-09-21 11:00,0.003,0.2,0.029,0.011,25,8
안양시,안양8동,1993,도시대기,2023-09-21 11:00,0.001,0.3,0.03,0.01,16,5
안양시,안양2동,2004,도시대기,2023-09-21 10:00,0.002,0.2,0.029,0.012,8,2
안양시,호계동,1992,도시대기,2023-09-21 10:00,0.002,0.3,0.027,0.015,14,5
안양시,부림동,1998,도시대기,2023-09-21 10:00,0.003,0.2,0.027,0.011,15,8
안양시,안양8동,1993,도시대기,2023-09-21 10:00,0.001,0.3,0.027,0.013,10,4
안양시,호계동,1992,도시대기,2023-09-21 09:00,0.002,0.3,0.024,0.017,12,8
안양시,부림동,1998,도시대기,2023-09-21 09:00,0.003,0.2,0.027,0.012,18,6
안양시,안양8동,1993,도시대기,2023-09-21 09:00,0.001,0.3,0.028,0.011,13,5
안양시,안양2동,2004,도시대기,2023-09-21 09:00,0.002,0.1,0.03,0.01,12,3
안양시,호계동,1992,도시대기,2023-09-21 08:00,0.002,0.3,0.022,0.019,9,6
안양시,부림동,1998,도시대기,2023-09-21 08:00,0.003,0.2,0.026,0.012,17,2
안양시,안양8동,1993,도시대기,2023-09-21 08:00,0.001,0.3,0.028,0.011,16,5
안양시,안양2동,2004,도시대기,2023-09-21 08:00,0.002,0.2,0.025,0.013,3,2
안양시,호계동,1992,도시대기,2023-09-21 07:00,0.002,0.2,0.027,0.015,5,4
안양시,부림동,1998,도시대기,2023-09-21 07:00,0.003,0.2,0.028,0.012,15,2
안양시,안양8동,1993,도시대기,2023-09-21 07:00,0.001,0.3,0.029,0.01,7,3
안양시,안양2동,2004,도시대기,2023-09-21 07:00,0.002,0.1,0.032,0.011,6,1
안양시,호계동,1992,도시대기,2023-09-21 06:00,0.002,0.2,0.03,0.01,3,2
안양시,부림동,1998,도시대기,2023-09-21 06:00,0.003,0.2,0.033,0.005,10,5
안양시,안양8동,1993,도시대기,2023-09-21 06:00,0.001,0.2,0.033,0.006,4,
안양시,안양2동,2004,도시대기,2023-09-21 06:00,0.002,0.1,0.035,0.008,4,1
안양시,부림동,1998,도시대기,2023-09-21 05:00,0.003,0.2,0.034,0.004,12,7
안양시,호계동,1992,도시대기,2023-09-21 05:00,0.002,0.2,0.032,0.009,4,2
안양시,안양2동,2004,도시대기,2023-09-21 05:00,0.002,0.1,0.035,0.008,6,2
안양시,안양8동,1993,도시대기,2023-09-21 05:00,0.001,0.2,0.034,0.005,5,4
안양시,호계동,1992,도시대기,2023-09-21 04:00,0.002,0.2,0.036,0.008,6,2
안양시,부림동,1998,도시대기,2023-09-21 04:00,0.003,0.2,0.037,0.002,14,4
안양시,안양8동,1993,도시대기,2023-09-21 04:00,0.001,0.2,0.038,0.004,5,4
안양시,안양2동,2004,도시대기,2023-09-21 04:00,0.002,0.1,0.036,0.008,3,
안양시,호계동,1992,도시대기,2023-09-21 03:00,0.002,0.2,0.037,0.007,5,1
안양시,부림동,1998,도시대기,2023-09-21 03:00,0.003,0.2,0.039,0.002,12,5
안양시,안양8동,1993,도시대기,2023-09-21 03:00,0.001,0.2,0.04,0.004,6,2
안양시,안양2동,2004,도시대기,2023-09-21 03:00,0.002,0.1,0.04,0.008,5,1
안양시,호계동,1992,도시대기,2023-09-21 02:00,0.002,0.2,0.037,0.007,4,1
안양시,부림동,1998,도시대기,2023-09-21 02:00,0.003,0.2,0.039,0.002,12,3
안양시,안양8동,1993,도시대기,2023-09-21 02:00,0.001,0.2,0.04,0.004,6,0
안양시,안양2동,2004,도시대기,2023-09-21 02:00,0.002,0.1,0.043,0.007,4,1
안양시,호계동,1992,도시대기,2023-09-21 01:00,0.002,0.2,0.036,0.008,6,2
안양시,부림동,1998,도시대기,2023-09-21 01:00,0.003,0.2,0.039,0.003,9,1
안양시,안양8동,1993,도시대기,2023-09-21 01:00,0.001,0.2,0.039,0.005,2,1
안양시,안양2동,2004,도시대기,2023-09-21 01:00,0.002,0.1,0.042,0.008,2,1
안양시,안양8동,1993,도시대기,2023-09-20 24:00,0.001,0.2,0.035,0.005,3,3
안양시,부림동,1998,도시대기,2023-09-20 24:00,0.003,0.2,0.034,0.004,15,4
안양시,호계동,1992,도시대기,2023-09-20 24:00,0.002,0.2,0.033,0.009,5,4
안양시,안양2동,2004,도시대기,2023-09-20 24:00,0.002,0.2,0.038,0.007,5,1
안양시,안양2동,2004,도시대기,2023-09-20 23:00,0.002,0.2,0.037,0.008,5,1
안양시,안양8동,1993,도시대기,2023-09-20 23:00,0.001,0.3,0.035,0.007,5,
안양시,부림동,1998,도시대기,2023-09-20 23:00,0.003,0.2,0.033,0.006,13,7
안양시,호계동,1992,도시대기,2023-09-20 23:00,0.002,0.3,0.031,0.013,9,5
안양시,호계동,1992,도시대기,2023-09-20 22:00,0.002,0.3,0.033,0.016,8,3
안양시,안양2동,2004,도시대기,2023-09-20 22:00,0.002,0.2,0.041,0.01,2,1
안양시,부림동,1998,도시대기,2023-09-20 22:00,0.003,0.3,0.036,0.009,18,6
안양시,안양8동,1993,도시대기,2023-09-20 22:00,0.001,0.3,0.038,0.01,9,6
안양시,안양8동,1993,도시대기,2023-09-20 21:00,0.001,0.3,0.041,0.011,8,6
안양시,부림동,1998,도시대기,2023-09-20 21:00,0.003,0.3,0.038,0.012,14,4
안양시,호계동,1992,도시대기,2023-09-20 21:00,0.002,0.3,0.039,0.013,7,5
안양시,안양2동,2004,도시대기,2023-09-20 21:00,0.002,0.2,0.048,0.009,3,2
안양시,안양2동,2004,도시대기,2023-09-20 20:00,0.002,0.2,0.051,0.009,5,2
안양시,호계동,1992,도시대기,2023-09-20 20:00,0.002,0.3,0.041,0.013,10,9
안양시,부림동,1998,도시대기,2023-09-20 20:00,0.003,0.3,0.04,0.012,15,8
안양시,안양8동,1993,도시대기,2023-09-20 20:00,0.001,0.3,0.044,0.011,10,6
안양시,안양2동,2004,도시대기,2023-09-20 19:00,0.002,0.2,0.051,0.01,5,2
안양시,호계동,1992,도시대기,2023-09-20 19:00,0.002,0.3,0.042,0.013,7,
안양시,부림동,1998,도시대기,2023-09-20 19:00,0.003,0.3,0.04,0.013,17,11
안양시,안양8동,1993,도시대기,2023-09-20 19:00,0.001,0.3,0.043,0.012,20,9
안양시,부림동,1998,도시대기,2023-09-20 18:00,0.003,0.3,0.04,0.013,15,15
안양시,호계동,1992,도시대기,2023-09-20 18:00,0.002,0.3,0.041,0.013,7,5
안양시,안양2동,2004,도시대기,2023-09-20 18:00,0.002,0.2,0.05,0.009,4,1
안양시,안양8동,1993,도시대기,2023-09-20 18:00,0.001,0.3,0.042,0.012,9,9
안양시,안양8동,1993,도시대기,2023-09-20 17:00,0.001,0.3,0.045,0.011,10,7
안양시,안양2동,2004,도시대기,2023-09-20 17:00,0.002,0.3,0.051,0.009,4,2
안양시,호계동,1992,도시대기,2023-09-20 17:00,0.002,0.3,0.041,0.013,17,8
안양시,부림동,1998,도시대기,2023-09-20 17:00,0.003,0.3,0.043,0.011,17,10
안양시,안양2동,2004,도시대기,2023-09-20 16:00,0.002,0.3,0.044,0.012,13,3
안양시,안양8동,1993,도시대기,2023-09-20 16:00,0.001,0.3,0.043,0.012,11,8
안양시,부림동,1998,도시대기,2023-09-20 16:00,0.003,0.3,0.037,0.014,21,13
안양시,호계동,1992,도시대기,2023-09-20 16:00,0.002,0.3,0.034,0.017,9,
안양시,호계동,1992,도시대기,2023-09-20 15:00,0.002,0.3,0.032,0.019,23,13
안양시,안양2동,2004,도시대기,2023-09-20 15:00,0.002,0.3,0.047,0.01,10,6
안양시,안양8동,1993,도시대기,2023-09-20 15:00,0.001,0.4,0.038,0.015,21,19
안양시,부림동,1998,도시대기,2023-09-20 15:00,0.003,0.3,0.033,0.018,25,20
안양시,호계동,1992,도시대기,2023-09-20 14:00,0.002,0.3,0.035,0.018,22,16
안양시,부림동,1998,도시대기,2023-09-20 14:00,0.003,0.3,0.037,0.015,26,16
안양시,안양8동,1993,도시대기,2023-09-20 14:00,0.001,0.4,0.038,0.016,24,17
안양시,안양2동,2004,도시대기,2023-09-20 14:00,0.002,0.3,0.046,0.01,21,9
안양시,부림동,1998,도시대기,2023-09-20 13:00,0.003,0.3,0.038,0.014,27,23
안양시,호계동,1992,도시대기,2023-09-20 13:00,0.002,0.3,0.035,0.018,31,12
안양시,안양2동,2004,도시대기,2023-09-20 13:00,0.002,0.3,0.046,0.013,19,9
안양시,안양8동,1993,도시대기,2023-09-20 13:00,0.001,0.4,0.04,0.015,22,17
안양시,안양8동,1993,도시대기,2023-09-20 12:00,0.002,0.4,0.035,0.018,34,25
안양시,부림동,1998,도시대기,2023-09-20 12:00,0.003,0.4,0.032,0.019,31,29
안양시,안양2동,2004,도시대기,2023-09-20 12:00,0.002,0.3,0.045,0.011,16,14
안양시,호계동,1992,도시대기,2023-09-20 12:00,0.002,0.3,0.032,0.019,27,22
안양시,호계동,1992,도시대기,2023-09-20 11:00,0.002,0.4,0.02,0.026,25,
안양시,부림동,1998,도시대기,2023-09-20 11:00,0.003,0.4,0.026,0.021,34,22
안양시,안양8동,1993,도시대기,2023-09-20 11:00,0.002,0.4,0.034,0.017,31,24
안양시,안양2동,2004,도시대기,2023-09-20 11:00,0.002,0.4,0.029,0.015,25,20
안양시,안양2동,2004,도시대기,2023-09-20 10:00,0.002,0.5,0.023,0.024,24,11
안양시,호계동,1992,도시대기,2023-09-20 10:00,0.002,0.4,0.024,0.025,33,23
안양시,부림동,1998,도시대기,2023-09-20 10:00,0.003,0.4,0.025,0.02,32,27
안양시,안양8동,1993,도시대기,2023-09-20 10:00,0.002,0.4,0.033,0.018,36,23
안양시,호계동,1992,도시대기,2023-09-20 08:00,0.002,0.3,0.023,0.029,30,21
안양시,부림동,1998,도시대기,2023-09-20 08:00,0.003,0.4,0.016,0.025,40,29
안양시,안양8동,1993,도시대기,2023-09-20 08:00,0.002,0.4,0.024,0.02,32,21
안양시,안양2동,2004,도시대기,2023-09-20 08:00,0.002,0.4,0.036,0.015,15,7
안양시,호계동,1992,도시대기,2023-09-20 07:00,0.002,0.3,0.038,0.015,26,23
안양시,부림동,1998,도시대기,2023-09-20 07:00,0.003,0.4,0.022,0.018,38,24
안양시,안양8동,1993,도시대기,2023-09-20 07:00,0.002,0.4,0.023,0.018,33,23
안양시,안양2동,2004,도시대기,2023-09-20 07:00,0.002,0.4,0.032,0.016,13,8
안양시,안양2동,2004,도시대기,2023-09-20 06:00,0.002,0.4,0.018,0.013,36,12
안양시,호계동,1992,도시대기,2023-09-20 06:00,0.002,0.3,0.016,0.019,43,27
안양시,부림동,1998,도시대기,2023-09-20 06:00,0.003,0.4,0.016,0.014,42,29
안양시,안양8동,1993,도시대기,2023-09-20 06:00,0.002,0.4,0.02,0.015,43,23
안양시,안양2동,2004,도시대기,2023-09-20 05:00,0.002,0.4,0.011,0.012,39,14
안양시,호계동,1992,도시대기,2023-09-20 05:00,0.002,0.3,0.016,0.015,37,26
안양시,부림동,1998,도시대기,2023-09-20 05:00,0.003,0.4,0.016,0.014,39,28
안양시,안양8동,1993,도시대기,2023-09-20 05:00,0.002,0.4,0.02,0.012,32,24
안양시,호계동,1992,도시대기,2023-09-20 04:00,0.002,0.3,0.02,0.013,30,23
안양시,안양2동,2004,도시대기,2023-09-20 04:00,0.002,0.4,0.013,0.015,37,13
안양시,부림동,1998,도시대기,2023-09-20 04:00,0.003,0.3,0.018,0.012,32,25
안양시,안양8동,1993,도시대기,2023-09-20 04:00,0.002,0.4,0.026,0.01,36,21
안양시,호계동,1992,도시대기,2023-09-20 03:00,0.002,0.3,0.022,0.015,35,17
안양시,안양8동,1993,도시대기,2023-09-20 03:00,0.002,0.3,0.028,0.01,31,20
안양시,부림동,1998,도시대기,2023-09-20 03:00,0.003,0.3,0.023,0.011,36,25
안양시,안양2동,2004,도시대기,2023-09-20 03:00,0.002,0.4,0.013,0.013,39,10
안양시,안양2동,2004,도시대기,2023-09-20 02:00,0.003,0.4,0.025,0.012,41,13
안양시,안양8동,1993,도시대기,2023-09-20 02:00,0.002,0.3,0.029,0.011,26,18
