교육청명,교육지원청명,유치원명,설립유형,대표자명,유치원장명,설립일,개업일자,전화번호,홈페이지주소,운영시간,3세학급수,4세학급수,5세학급수,혼합학급수,특수학급수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,3세영유아수,4세영유아수,5세영유아수,혼합영유아수,특수영유아수,공시차수,정제도로명주소,정제지번주소,정제우편번호,정제WGS84위도,정제WGS84경도
경기도교육청,파주교육지원청,자유초등학교병설유치원,공립(병설),노치삼,노치삼,20110301,20110301,031-954-3815,"http://www,jayu.es.kr",09시00분~17시00분,1,1,1,0,1,64,15,20,25,0,4,5,9,19,0,4,20222,경기도 파주시 문산읍 방촌로 1722,경기도 파주시 문산읍 당동리 939번지,10815,37.8655365709,126.7865569336
경기도교육청,파주교육지원청,신산초등학교병설유치원,공립(병설),한석주,한석주,19801226,19810310,031-947-4179,http://www.sinsan.es.kr,09시00분~17시00분,,,,1,,20,,,,20,,,,,10,,20222,경기도 파주시 광탄면 심궁로 13,경기도 파주시 광탄면 신산리 199번지,10948,37.7805903624,126.8523187039
경기도교육청,파주교육지원청,장파초등학교병설유치원,공립(병설),용을미,용을미,19801230,19810301,031-958-9990,,09시00분~17시00분,,,,1,,20,,,,20,,,,,8,,20222,경기도 파주시 파평면 장마루5길 11,경기도 파주시 파평면 장파리 348-1번지,10801,37.9413718167,126.8375834062
경기도교육청,파주교육지원청,운광초등학교병설유치원,공립(병설),이현순,이현순,20100309,20100309,031-909-5780,,08시30분~16시30분,1,1,1,0,,64,16,22,26,0,,14,16,26,0,,20222,경기도 파주시 한울로 90,경기도 파주시 동패동 1769번지,10905,37.7097046938,126.7409716240
경기도교육청,수원교육지원청,율전초등학교병설유치원,공립(병설),김선영,김선영,20090221,20090305,031-296-9058,http://www.yuljeon.es.kr,09시00분~17시00분,,,,1,,20,,,,20,,,,,14,,20222,경기도 수원시 장안구 율전로 113,경기도 수원시 장안구 율전동 308-6번지,16361,37.2998336293,126.9687327300
경기도교육청,수원교육지원청,동남보건대학교부설유치원,사립(법인),송동섭,정인수,20040629,20040629,031-252-1425,http://www.dongnamak.kg.kr,08시00분~18시00분,3,4,3,0,,210,54,80,76,0,,54,80,76,0,,20222,경기도 수원시 장안구 천천로74번길 50,경기도 수원시 장안구 정자동 937번지,16328,37.2991490888,126.9872420076
경기도교육청,수원교육지원청,세화유치원,사립(법인),윤옥자,윤옥자,20131213,20140301,031-242-1235,http://sewha.hkapp.kr,09시00분~19시00분,3,1,2,0,,176,54,44,78,0,,32,25,31,0,,20222,경기도 수원시 장안구 장안로398번길 1-1,경기도 수원시 장안구 이목동 731-1번지,16345,37.3161338167,126.9836957887
경기도교육청,수원교육지원청,송죽초등학교병설유치원,공립(병설),최명옥,최명옥,19870301,19870306,031-255-0389,http://www.songjook.er.kr,09시00분~17시00분,,,1,1,,42,,,26,16,,,,13,4,,20222,경기도 수원시 장안구 송원로41번길 34,경기도 수원시 장안구 송죽동 502번지,16305,37.3007612590,127.0060067381
경기도교육청,수원교육지원청,연화유치원,사립(사인),김해순,김진희,19840814,19840814,031-243-0130,http://www.yunwhakids.kr,09시00분~18시00분,4,3,3,0,,432,72,66,78,0,,67,66,57,0,,20222,경기도 수원시 장안구 수일로 335,경기도 수원시 장안구 조원동 474-1번지,16278,37.3007131965,127.0228532576
경기도교육청,수원교육지원청,아이림유치원,사립(사인),고재정,고승희,20080313,20080313,031-252-5202,http://www.irim.co.kr,09시30분~18시30분,2,3,2,0,,157,36,66,52,0,,35,58,50,0,,20222,경기도 수원시 장안구 수일로 279,경기도 수원시 장안구 조원동 351-10번지,16278,37.3041986754,127.0199086847
