설립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
공립,회천중학교,031-864-9460,경기도 양주시 고암동 122-2번지,경기도 양주시 고암길 77,11455,37.8326123962,127.0708817627
공립,시화중학교,070-7097-0700,경기도 시흥시 정왕동 1552번지,경기도 시흥시 큰솔로52번길 23,15051,37.3410170657,126.7561680371
공립,감정중학교,031-984-7457,경기도 김포시 감정동 595번지,경기도 김포시 감정로 25,10105,37.6211111011,126.7009664176
공립,가평중학교,031-580-3000,경기도 가평군 가평읍 대곡리 273번지,경기도 가평군 가평읍 광장로 10,12417,37.8277604467,127.5104656699
공립,가평북중학교,031-581-0618,경기도 가평군 북면 이곡리 13-45번지,경기도 가평군 북면 석장모루길 13,12407,37.8793061516,127.5481231897
공립,설악중학교,031-584-7779,경기도 가평군 설악면 신천리 72번지,경기도 가평군 설악면 한양부로 21-1,12465,37.6820521503,127.4943294917
공립,일죽중학교,031-8046-6230,경기도 안성시 일죽면 송천리 243-1번지,경기도 안성시 일죽면 서동대로 7446,17529,37.0914715397,127.4733766840
공립,과천문원중학교,02-507-4901,경기도 과천시 별양동 40번지,경기도 과천시 코오롱로 57,13834,37.4233665631,126.9952793852
공립,과천중학교,02-502-2940,경기도 과천시 중앙동 12번지,경기도 과천시 희망4길 33,13805,37.4331929911,126.9893356907
공립,인덕원중학교,031-349-3267,경기도 안양시 동안구 관양동 1482번지,경기도 안양시 동안구 벌말로 174,13950,37.4022423027,126.9714114680
공립,귀인중학교,"031-478-2800,2826",경기도 안양시 동안구 평촌동 914번지,경기도 안양시 동안구 귀인로190번길 114,14103,37.3840434331,126.9633723013
사립,근명중학교,031-446-1205,경기도 안양시 만안구 안양동 708-197번지,경기도 안양시 만안구 삼덕로 49,14028,37.3935374857,126.9200132758
공립,대안여자중학교,031-453-1997,경기도 안양시 동안구 호계동 1231번지,경기도 안양시 동안구 흥안대로223번길 46,14106,37.3771557651,126.9651043151
공립,범계중학교,031-383-0234,경기도 안양시 동안구 호계동 1054-5번지,경기도 안양시 동안구 동안로 56,14076,37.3847186220,126.9553021379
공립,부림중학교,031-381-2726,경기도 안양시 동안구 관양동 1586-1번지,경기도 안양시 동안구 달안로 95,14049,37.3980764565,126.9532396224
공립,부안중학교,031-387-4033,경기도 안양시 동안구 관양동 1588-5번지,경기도 안양시 동안구 달안로 170,14051,37.3990930606,126.9606664306
공립,신기중학교,031-459-4026,경기도 안양시 동안구 호계동 1075-1번지,경기도 안양시 동안구 경수대로610번길 57,14108,37.3790384090,126.9588899016
사립,신성중학교,031-469-2173,경기도 안양시 만안구 안양동 587-68번지,경기도 안양시 만안구 소곡로 93,14090,37.3844853432,126.9195295055
공립,신안중학교,031-443-2513,경기도 안양시 만안구 안양동 728번지,경기도 안양시 만안구 능곡로 78,14022,37.3881126551,126.9148134935
공립,조종중학교,031-585-1126,경기도 가평군 조종면 현리 438번지,경기도 가평군 조종면 연등윗길 22,12438,37.8145202937,127.3469631944
공립,청평중학교,031-584-2390,경기도 가평군 청평면 청평리 288번지,경기도 가평군 청평면 골안길 7,12451,37.7434164716,127.4221928021
공립,고양중학교,02-350-1115,경기도 고양시 덕양구 삼송동 322번지,경기도 고양시 덕양구 동세로 82,10589,37.6496842119,126.8845745402
공립,능곡중학교,031-974-7006,경기도 고양시 덕양구 토당동 394번지,경기도 고양시 덕양구 행당로11번길 48,10515,37.6229046998,126.8266400561
공립,대화중학교,031-914-0524,경기도 고양시 일산서구 대화동 2230번지,경기도 고양시 일산서구 고양대로 348,10382,37.6738547857,126.7444780322
공립,무원중학교,031-974-9995,경기도 고양시 덕양구 행신동 695번지,경기도 고양시 덕양구 무원로 45,10521,37.6176994179,126.8305849006
공립,발산중학교,031-910-9999,경기도 고양시 일산서구 주엽동 56번지,경기도 고양시 일산서구 고봉로 99,10361,37.6698312655,126.7696573336
공립,백마중학교,031-902-2813,경기도 고양시 일산동구 마두동 733번지,경기도 고양시 일산동구 강촌로 189,10417,37.6551216940,126.7933365399
공립,백신중학교,031-901-1743,경기도 고양시 일산동구 마두동 788번지,경기도 고양시 일산동구 강촌로 89,10415,37.6513380147,126.7831925047
공립,백양중학교,031-971-4004,경기도 고양시 덕양구 화정동 992번지,경기도 고양시 덕양구 화신로 236,10499,37.6313310759,126.8359932279
사립,고양제일중학교,031-969-8072,경기도 고양시 덕양구 관산동 332번지,경기도 고양시 덕양구 통일로 820,10286,37.6906870403,126.8611203894
공립,신능중학교,031-930-2823,경기도 고양시 덕양구 충장로 ,,,,
공립,신일중학교,031-912-4052,경기도 고양시 일산서구 일산동 1096번지,경기도 고양시 일산서구 고봉로 177,10356,37.6766186999,126.7741154703
공립,오마중학교,031-606-9113-5,경기도 고양시 일산서구 주엽동 4번지,경기도 고양시 일산서구 주엽로 213,10371,37.6776943194,126.7615400720
공립,원당중학교,031-960-1910,경기도 고양시 덕양구 주교동 527-5번지,경기도 고양시 덕양구 마상로 1,10296,37.6647058884,126.8230652228
공립,안양부흥중학교,031-381-0168,경기도 안양시 동안구 비산동 1102-1번지,경기도 안양시 동안구 달안로 25,14044,37.3940921767,126.9454507553
공립,안양서중학교,031-447-1147,경기도 안양시 만안구 안양동 1055-3번지,경기도 안양시 만안구 창박로 26,14025,37.3859331073,126.9043362940
공립,안양중학교,031-472-9722,경기도 안양시 만안구 석수동 752번지,경기도 안양시 만안구 와룡로 53,13972,37.4092940198,126.8967161928
